,process,region,binning,color,process_type,scale,variation,source_filename,source_histname,alias,title,combine_idx,direction,syst_type,shapes,variation_alias,lnN
0,data_obs,fail,default,1,DATA,1.0,nominal,.//HSCP_Data-SR1.root,hfail,Data,Data,,,,,,
673,Signal_stopCS-2400,fail,default,2,SIGNAL,1.0,lumi,.//HSCP_Signal_stopCS-2400-SR1.root,hfail,Signal_stopCS-2400,HSCP signal,,,lnN,,,1.018
674,Signal_stopCS-2400,fail,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_stopCS-2400-SR1.root,hfail_PUsyst_up,Signal_stopCS-2400,HSCP signal,,Up,shapes,1.0,PUsyst,
675,Signal_stopCS-2400,fail,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_stopCS-2400-SR1.root,hfail_PUsyst_down,Signal_stopCS-2400,HSCP signal,,Down,shapes,1.0,PUsyst,
676,Signal_stopCS-2400,fail,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_stopCS-2400-SR1.root,hfail_Fsyst_up,Signal_stopCS-2400,HSCP signal,,Up,shapes,1.0,Fsyst,
677,Signal_stopCS-2400,fail,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_stopCS-2400-SR1.root,hfail_Fsyst_down,Signal_stopCS-2400,HSCP signal,,Down,shapes,1.0,Fsyst,
678,Signal_stopCS-2400,fail,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_stopCS-2400-SR1.root,hfail_Gsyst_up,Signal_stopCS-2400,HSCP signal,,Up,shapes,1.0,Gsyst,
679,Signal_stopCS-2400,fail,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_stopCS-2400-SR1.root,hfail_Gsyst_down,Signal_stopCS-2400,HSCP signal,,Down,shapes,1.0,Gsyst,
680,Signal_stopCS-2400,fail,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_stopCS-2400-SR1.root,hfail_Triggersyst_up,Signal_stopCS-2400,HSCP signal,,Up,shapes,1.0,Triggersyst,
681,Signal_stopCS-2400,fail,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_stopCS-2400-SR1.root,hfail_Triggersyst_down,Signal_stopCS-2400,HSCP signal,,Down,shapes,1.0,Triggersyst,
682,Signal_stopCS-2400,fail,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_stopCS-2400-SR1.root,hfail_Ptsyst_up,Signal_stopCS-2400,HSCP signal,,Up,shapes,1.0,Ptsyst,
683,Signal_stopCS-2400,fail,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_stopCS-2400-SR1.root,hfail_Ptsyst_down,Signal_stopCS-2400,HSCP signal,,Down,shapes,1.0,Ptsyst,
684,Signal_stopCS-2400,fail,default,2,SIGNAL,1.0,nominal,.//HSCP_Signal_stopCS-2400-SR1.root,hfail,Signal_stopCS-2400,HSCP signal,,,,,,
925,data_obs,pass,default,1,DATA,1.0,nominal,.//HSCP_Data-SR1.root,hpass,Data,Data,,,,,,
1598,Signal_stopCS-2400,pass,default,2,SIGNAL,1.0,lumi,.//HSCP_Signal_stopCS-2400-SR1.root,hpass,Signal_stopCS-2400,HSCP signal,,,lnN,,,1.018
1599,Signal_stopCS-2400,pass,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_stopCS-2400-SR1.root,hpass_PUsyst_up,Signal_stopCS-2400,HSCP signal,,Up,shapes,1.0,PUsyst,
1600,Signal_stopCS-2400,pass,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_stopCS-2400-SR1.root,hpass_PUsyst_down,Signal_stopCS-2400,HSCP signal,,Down,shapes,1.0,PUsyst,
1601,Signal_stopCS-2400,pass,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_stopCS-2400-SR1.root,hpass_Fsyst_up,Signal_stopCS-2400,HSCP signal,,Up,shapes,1.0,Fsyst,
1602,Signal_stopCS-2400,pass,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_stopCS-2400-SR1.root,hpass_Fsyst_down,Signal_stopCS-2400,HSCP signal,,Down,shapes,1.0,Fsyst,
1603,Signal_stopCS-2400,pass,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_stopCS-2400-SR1.root,hpass_Gsyst_up,Signal_stopCS-2400,HSCP signal,,Up,shapes,1.0,Gsyst,
1604,Signal_stopCS-2400,pass,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_stopCS-2400-SR1.root,hpass_Gsyst_down,Signal_stopCS-2400,HSCP signal,,Down,shapes,1.0,Gsyst,
1605,Signal_stopCS-2400,pass,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_stopCS-2400-SR1.root,hpass_Triggersyst_up,Signal_stopCS-2400,HSCP signal,,Up,shapes,1.0,Triggersyst,
1606,Signal_stopCS-2400,pass,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_stopCS-2400-SR1.root,hpass_Triggersyst_down,Signal_stopCS-2400,HSCP signal,,Down,shapes,1.0,Triggersyst,
1607,Signal_stopCS-2400,pass,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_stopCS-2400-SR1.root,hpass_Ptsyst_up,Signal_stopCS-2400,HSCP signal,,Up,shapes,1.0,Ptsyst,
1608,Signal_stopCS-2400,pass,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_stopCS-2400-SR1.root,hpass_Ptsyst_down,Signal_stopCS-2400,HSCP signal,,Down,shapes,1.0,Ptsyst,
1609,Signal_stopCS-2400,pass,default,2,SIGNAL,1.0,nominal,.//HSCP_Signal_stopCS-2400-SR1.root,hpass,Signal_stopCS-2400,HSCP signal,,,,,,
