,process,region,binning,color,process_type,scale,variation,source_filename,source_histname,alias,title,combine_idx,direction,syst_type,shapes,variation_alias,lnN
0,data_obs,fail,default,1,DATA,1.0,nominal,.//HSCP_Data-SR1.root,hfail,Data,Data,,,,,,
217,Signal_ppStau-247,fail,default,2,SIGNAL,1.0,lumi,.//HSCP_Signal_ppStau-247-SR1.root,hfail,Signal_ppStau-247,HSCP signal,,,lnN,,,1.016
218,Signal_ppStau-247,fail,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_ppStau-247-SR1.root,hfail_PUsyst_up,Signal_ppStau-247,HSCP signal,,Up,shapes,1.0,PUsyst,
219,Signal_ppStau-247,fail,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_ppStau-247-SR1.root,hfail_PUsyst_down,Signal_ppStau-247,HSCP signal,,Down,shapes,1.0,PUsyst,
220,Signal_ppStau-247,fail,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_ppStau-247-SR1.root,hfail_Fsyst_up,Signal_ppStau-247,HSCP signal,,Up,shapes,1.0,Fsyst,
221,Signal_ppStau-247,fail,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_ppStau-247-SR1.root,hfail_Fsyst_down,Signal_ppStau-247,HSCP signal,,Down,shapes,1.0,Fsyst,
222,Signal_ppStau-247,fail,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_ppStau-247-SR1.root,hfail_Gsyst_up,Signal_ppStau-247,HSCP signal,,Up,shapes,1.0,Gsyst,
223,Signal_ppStau-247,fail,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_ppStau-247-SR1.root,hfail_Gsyst_down,Signal_ppStau-247,HSCP signal,,Down,shapes,1.0,Gsyst,
224,Signal_ppStau-247,fail,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_ppStau-247-SR1.root,hfail_Triggersyst_up,Signal_ppStau-247,HSCP signal,,Up,shapes,1.0,Triggersyst,
225,Signal_ppStau-247,fail,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_ppStau-247-SR1.root,hfail_Triggersyst_down,Signal_ppStau-247,HSCP signal,,Down,shapes,1.0,Triggersyst,
226,Signal_ppStau-247,fail,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_ppStau-247-SR1.root,hfail_Ptsyst_up,Signal_ppStau-247,HSCP signal,,Up,shapes,1.0,Ptsyst,
227,Signal_ppStau-247,fail,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_ppStau-247-SR1.root,hfail_Ptsyst_down,Signal_ppStau-247,HSCP signal,,Down,shapes,1.0,Ptsyst,
228,Signal_ppStau-247,fail,default,2,SIGNAL,1.0,systOnMuReco,.//HSCP_Signal_ppStau-247-SR1.root,hfail_MuonRecoSF_up,Signal_ppStau-247,HSCP signal,,Up,shapes,1.0,MuonRecoSF,
229,Signal_ppStau-247,fail,default,2,SIGNAL,1.0,systOnMuReco,.//HSCP_Signal_ppStau-247-SR1.root,hfail_MuonRecoSF_down,Signal_ppStau-247,HSCP signal,,Down,shapes,1.0,MuonRecoSF,
230,Signal_ppStau-247,fail,default,2,SIGNAL,1.0,systOnMuID,.//HSCP_Signal_ppStau-247-SR1.root,hfail_MuonIDSF_up,Signal_ppStau-247,HSCP signal,,Up,shapes,1.0,MuonIDSF,
231,Signal_ppStau-247,fail,default,2,SIGNAL,1.0,systOnMuID,.//HSCP_Signal_ppStau-247-SR1.root,hfail_MuonIDSF_down,Signal_ppStau-247,HSCP signal,,Down,shapes,1.0,MuonIDSF,
232,Signal_ppStau-247,fail,default,2,SIGNAL,1.0,systOnMuTrigger,.//HSCP_Signal_ppStau-247-SR1.root,hfail_MuonTriggerSF_up,Signal_ppStau-247,HSCP signal,,Up,shapes,1.0,MuonTriggerSF,
233,Signal_ppStau-247,fail,default,2,SIGNAL,1.0,systOnMuTrigger,.//HSCP_Signal_ppStau-247-SR1.root,hfail_MuonTriggerSF_down,Signal_ppStau-247,HSCP signal,,Down,shapes,1.0,MuonTriggerSF,
234,Signal_ppStau-247,fail,default,2,SIGNAL,1.0,nominal,.//HSCP_Signal_ppStau-247-SR1.root,hfail,Signal_ppStau-247,HSCP signal,,,,,,
343,data_obs,pass,default,1,DATA,1.0,nominal,.//HSCP_Data-SR1.root,hpass,Data,Data,,,,,,
560,Signal_ppStau-247,pass,default,2,SIGNAL,1.0,lumi,.//HSCP_Signal_ppStau-247-SR1.root,hpass,Signal_ppStau-247,HSCP signal,,,lnN,,,1.016
561,Signal_ppStau-247,pass,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_ppStau-247-SR1.root,hpass_PUsyst_up,Signal_ppStau-247,HSCP signal,,Up,shapes,1.0,PUsyst,
562,Signal_ppStau-247,pass,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_ppStau-247-SR1.root,hpass_PUsyst_down,Signal_ppStau-247,HSCP signal,,Down,shapes,1.0,PUsyst,
563,Signal_ppStau-247,pass,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_ppStau-247-SR1.root,hpass_Fsyst_up,Signal_ppStau-247,HSCP signal,,Up,shapes,1.0,Fsyst,
564,Signal_ppStau-247,pass,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_ppStau-247-SR1.root,hpass_Fsyst_down,Signal_ppStau-247,HSCP signal,,Down,shapes,1.0,Fsyst,
565,Signal_ppStau-247,pass,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_ppStau-247-SR1.root,hpass_Gsyst_up,Signal_ppStau-247,HSCP signal,,Up,shapes,1.0,Gsyst,
566,Signal_ppStau-247,pass,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_ppStau-247-SR1.root,hpass_Gsyst_down,Signal_ppStau-247,HSCP signal,,Down,shapes,1.0,Gsyst,
567,Signal_ppStau-247,pass,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_ppStau-247-SR1.root,hpass_Triggersyst_up,Signal_ppStau-247,HSCP signal,,Up,shapes,1.0,Triggersyst,
568,Signal_ppStau-247,pass,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_ppStau-247-SR1.root,hpass_Triggersyst_down,Signal_ppStau-247,HSCP signal,,Down,shapes,1.0,Triggersyst,
569,Signal_ppStau-247,pass,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_ppStau-247-SR1.root,hpass_Ptsyst_up,Signal_ppStau-247,HSCP signal,,Up,shapes,1.0,Ptsyst,
570,Signal_ppStau-247,pass,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_ppStau-247-SR1.root,hpass_Ptsyst_down,Signal_ppStau-247,HSCP signal,,Down,shapes,1.0,Ptsyst,
571,Signal_ppStau-247,pass,default,2,SIGNAL,1.0,systOnMuReco,.//HSCP_Signal_ppStau-247-SR1.root,hpass_MuonRecoSF_up,Signal_ppStau-247,HSCP signal,,Up,shapes,1.0,MuonRecoSF,
572,Signal_ppStau-247,pass,default,2,SIGNAL,1.0,systOnMuReco,.//HSCP_Signal_ppStau-247-SR1.root,hpass_MuonRecoSF_down,Signal_ppStau-247,HSCP signal,,Down,shapes,1.0,MuonRecoSF,
573,Signal_ppStau-247,pass,default,2,SIGNAL,1.0,systOnMuID,.//HSCP_Signal_ppStau-247-SR1.root,hpass_MuonIDSF_up,Signal_ppStau-247,HSCP signal,,Up,shapes,1.0,MuonIDSF,
574,Signal_ppStau-247,pass,default,2,SIGNAL,1.0,systOnMuID,.//HSCP_Signal_ppStau-247-SR1.root,hpass_MuonIDSF_down,Signal_ppStau-247,HSCP signal,,Down,shapes,1.0,MuonIDSF,
575,Signal_ppStau-247,pass,default,2,SIGNAL,1.0,systOnMuTrigger,.//HSCP_Signal_ppStau-247-SR1.root,hpass_MuonTriggerSF_up,Signal_ppStau-247,HSCP signal,,Up,shapes,1.0,MuonTriggerSF,
576,Signal_ppStau-247,pass,default,2,SIGNAL,1.0,systOnMuTrigger,.//HSCP_Signal_ppStau-247-SR1.root,hpass_MuonTriggerSF_down,Signal_ppStau-247,HSCP signal,,Down,shapes,1.0,MuonTriggerSF,
577,Signal_ppStau-247,pass,default,2,SIGNAL,1.0,nominal,.//HSCP_Signal_ppStau-247-SR1.root,hpass,Signal_ppStau-247,HSCP signal,,,,,,
