,process,region,binning,color,process_type,scale,variation,source_filename,source_histname,alias,title,combine_idx,direction,syst_type,shapes,variation_alias,lnN
0,data_obs,fail,default,1,DATA,1.0,nominal,.//HSCP_Data-SR1.root,hfail,Data,Data,,,,,,
457,Signal_stop-1000,fail,default,2,SIGNAL,1.0,lumi,.//HSCP_Signal_stop-1000-SR1.root,hfail,Signal_stop-1000,HSCP signal,,,lnN,,,1.018
458,Signal_stop-1000,fail,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_stop-1000-SR1.root,hfail_PUsyst_up,Signal_stop-1000,HSCP signal,,Up,shapes,1.0,PUsyst,
459,Signal_stop-1000,fail,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_stop-1000-SR1.root,hfail_PUsyst_down,Signal_stop-1000,HSCP signal,,Down,shapes,1.0,PUsyst,
460,Signal_stop-1000,fail,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_stop-1000-SR1.root,hfail_Fsyst_up,Signal_stop-1000,HSCP signal,,Up,shapes,1.0,Fsyst,
461,Signal_stop-1000,fail,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_stop-1000-SR1.root,hfail_Fsyst_down,Signal_stop-1000,HSCP signal,,Down,shapes,1.0,Fsyst,
462,Signal_stop-1000,fail,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_stop-1000-SR1.root,hfail_Gsyst_up,Signal_stop-1000,HSCP signal,,Up,shapes,1.0,Gsyst,
463,Signal_stop-1000,fail,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_stop-1000-SR1.root,hfail_Gsyst_down,Signal_stop-1000,HSCP signal,,Down,shapes,1.0,Gsyst,
464,Signal_stop-1000,fail,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_stop-1000-SR1.root,hfail_Triggersyst_up,Signal_stop-1000,HSCP signal,,Up,shapes,1.0,Triggersyst,
465,Signal_stop-1000,fail,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_stop-1000-SR1.root,hfail_Triggersyst_down,Signal_stop-1000,HSCP signal,,Down,shapes,1.0,Triggersyst,
466,Signal_stop-1000,fail,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_stop-1000-SR1.root,hfail_Ptsyst_up,Signal_stop-1000,HSCP signal,,Up,shapes,1.0,Ptsyst,
467,Signal_stop-1000,fail,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_stop-1000-SR1.root,hfail_Ptsyst_down,Signal_stop-1000,HSCP signal,,Down,shapes,1.0,Ptsyst,
468,Signal_stop-1000,fail,default,2,SIGNAL,1.0,nominal,.//HSCP_Signal_stop-1000-SR1.root,hfail,Signal_stop-1000,HSCP signal,,,,,,
925,data_obs,pass,default,1,DATA,1.0,nominal,.//HSCP_Data-SR1.root,hpass,Data,Data,,,,,,
1382,Signal_stop-1000,pass,default,2,SIGNAL,1.0,lumi,.//HSCP_Signal_stop-1000-SR1.root,hpass,Signal_stop-1000,HSCP signal,,,lnN,,,1.018
1383,Signal_stop-1000,pass,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_stop-1000-SR1.root,hpass_PUsyst_up,Signal_stop-1000,HSCP signal,,Up,shapes,1.0,PUsyst,
1384,Signal_stop-1000,pass,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_stop-1000-SR1.root,hpass_PUsyst_down,Signal_stop-1000,HSCP signal,,Down,shapes,1.0,PUsyst,
1385,Signal_stop-1000,pass,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_stop-1000-SR1.root,hpass_Fsyst_up,Signal_stop-1000,HSCP signal,,Up,shapes,1.0,Fsyst,
1386,Signal_stop-1000,pass,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_stop-1000-SR1.root,hpass_Fsyst_down,Signal_stop-1000,HSCP signal,,Down,shapes,1.0,Fsyst,
1387,Signal_stop-1000,pass,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_stop-1000-SR1.root,hpass_Gsyst_up,Signal_stop-1000,HSCP signal,,Up,shapes,1.0,Gsyst,
1388,Signal_stop-1000,pass,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_stop-1000-SR1.root,hpass_Gsyst_down,Signal_stop-1000,HSCP signal,,Down,shapes,1.0,Gsyst,
1389,Signal_stop-1000,pass,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_stop-1000-SR1.root,hpass_Triggersyst_up,Signal_stop-1000,HSCP signal,,Up,shapes,1.0,Triggersyst,
1390,Signal_stop-1000,pass,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_stop-1000-SR1.root,hpass_Triggersyst_down,Signal_stop-1000,HSCP signal,,Down,shapes,1.0,Triggersyst,
1391,Signal_stop-1000,pass,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_stop-1000-SR1.root,hpass_Ptsyst_up,Signal_stop-1000,HSCP signal,,Up,shapes,1.0,Ptsyst,
1392,Signal_stop-1000,pass,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_stop-1000-SR1.root,hpass_Ptsyst_down,Signal_stop-1000,HSCP signal,,Down,shapes,1.0,Ptsyst,
1393,Signal_stop-1000,pass,default,2,SIGNAL,1.0,nominal,.//HSCP_Signal_stop-1000-SR1.root,hpass,Signal_stop-1000,HSCP signal,,,,,,
