,process,region,binning,color,process_type,scale,variation,source_filename,source_histname,alias,title,combine_idx,direction,syst_type,shapes,variation_alias,lnN
0,data_obs,fail,default,1,DATA,1.0,nominal,.//HSCP_Data-SR1.root,hfail,Data,Data,,,,,,
205,Signal_gmsbStau-1218,fail,default,2,SIGNAL,1.0,lumi,.//HSCP_Signal_gmsbStau-1218-SR1.root,hfail,Signal_gmsbStau-1218,HSCP signal,,,lnN,,,1.018
206,Signal_gmsbStau-1218,fail,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_gmsbStau-1218-SR1.root,hfail_PUsyst_up,Signal_gmsbStau-1218,HSCP signal,,Up,shapes,1.0,PUsyst,
207,Signal_gmsbStau-1218,fail,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_gmsbStau-1218-SR1.root,hfail_PUsyst_down,Signal_gmsbStau-1218,HSCP signal,,Down,shapes,1.0,PUsyst,
208,Signal_gmsbStau-1218,fail,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_gmsbStau-1218-SR1.root,hfail_Fsyst_up,Signal_gmsbStau-1218,HSCP signal,,Up,shapes,1.0,Fsyst,
209,Signal_gmsbStau-1218,fail,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_gmsbStau-1218-SR1.root,hfail_Fsyst_down,Signal_gmsbStau-1218,HSCP signal,,Down,shapes,1.0,Fsyst,
210,Signal_gmsbStau-1218,fail,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_gmsbStau-1218-SR1.root,hfail_Gsyst_up,Signal_gmsbStau-1218,HSCP signal,,Up,shapes,1.0,Gsyst,
211,Signal_gmsbStau-1218,fail,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_gmsbStau-1218-SR1.root,hfail_Gsyst_down,Signal_gmsbStau-1218,HSCP signal,,Down,shapes,1.0,Gsyst,
212,Signal_gmsbStau-1218,fail,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_gmsbStau-1218-SR1.root,hfail_Triggersyst_up,Signal_gmsbStau-1218,HSCP signal,,Up,shapes,1.0,Triggersyst,
213,Signal_gmsbStau-1218,fail,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_gmsbStau-1218-SR1.root,hfail_Triggersyst_down,Signal_gmsbStau-1218,HSCP signal,,Down,shapes,1.0,Triggersyst,
214,Signal_gmsbStau-1218,fail,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_gmsbStau-1218-SR1.root,hfail_Ptsyst_up,Signal_gmsbStau-1218,HSCP signal,,Up,shapes,1.0,Ptsyst,
215,Signal_gmsbStau-1218,fail,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_gmsbStau-1218-SR1.root,hfail_Ptsyst_down,Signal_gmsbStau-1218,HSCP signal,,Down,shapes,1.0,Ptsyst,
216,Signal_gmsbStau-1218,fail,default,2,SIGNAL,1.0,nominal,.//HSCP_Signal_gmsbStau-1218-SR1.root,hfail,Signal_gmsbStau-1218,HSCP signal,,,,,,
925,data_obs,pass,default,1,DATA,1.0,nominal,.//HSCP_Data-SR1.root,hpass,Data,Data,,,,,,
1130,Signal_gmsbStau-1218,pass,default,2,SIGNAL,1.0,lumi,.//HSCP_Signal_gmsbStau-1218-SR1.root,hpass,Signal_gmsbStau-1218,HSCP signal,,,lnN,,,1.018
1131,Signal_gmsbStau-1218,pass,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_gmsbStau-1218-SR1.root,hpass_PUsyst_up,Signal_gmsbStau-1218,HSCP signal,,Up,shapes,1.0,PUsyst,
1132,Signal_gmsbStau-1218,pass,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_gmsbStau-1218-SR1.root,hpass_PUsyst_down,Signal_gmsbStau-1218,HSCP signal,,Down,shapes,1.0,PUsyst,
1133,Signal_gmsbStau-1218,pass,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_gmsbStau-1218-SR1.root,hpass_Fsyst_up,Signal_gmsbStau-1218,HSCP signal,,Up,shapes,1.0,Fsyst,
1134,Signal_gmsbStau-1218,pass,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_gmsbStau-1218-SR1.root,hpass_Fsyst_down,Signal_gmsbStau-1218,HSCP signal,,Down,shapes,1.0,Fsyst,
1135,Signal_gmsbStau-1218,pass,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_gmsbStau-1218-SR1.root,hpass_Gsyst_up,Signal_gmsbStau-1218,HSCP signal,,Up,shapes,1.0,Gsyst,
1136,Signal_gmsbStau-1218,pass,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_gmsbStau-1218-SR1.root,hpass_Gsyst_down,Signal_gmsbStau-1218,HSCP signal,,Down,shapes,1.0,Gsyst,
1137,Signal_gmsbStau-1218,pass,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_gmsbStau-1218-SR1.root,hpass_Triggersyst_up,Signal_gmsbStau-1218,HSCP signal,,Up,shapes,1.0,Triggersyst,
1138,Signal_gmsbStau-1218,pass,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_gmsbStau-1218-SR1.root,hpass_Triggersyst_down,Signal_gmsbStau-1218,HSCP signal,,Down,shapes,1.0,Triggersyst,
1139,Signal_gmsbStau-1218,pass,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_gmsbStau-1218-SR1.root,hpass_Ptsyst_up,Signal_gmsbStau-1218,HSCP signal,,Up,shapes,1.0,Ptsyst,
1140,Signal_gmsbStau-1218,pass,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_gmsbStau-1218-SR1.root,hpass_Ptsyst_down,Signal_gmsbStau-1218,HSCP signal,,Down,shapes,1.0,Ptsyst,
1141,Signal_gmsbStau-1218,pass,default,2,SIGNAL,1.0,nominal,.//HSCP_Signal_gmsbStau-1218-SR1.root,hpass,Signal_gmsbStau-1218,HSCP signal,,,,,,
