,process,region,binning,color,process_type,scale,variation,source_filename,source_histname,alias,title,combine_idx,direction,syst_type,shapes,variation_alias,lnN
0,data_obs,fail,default,1,DATA,1.0,nominal,.//HSCP_Data-SR1.root,hfail,Data,Data,,,,,,
109,Signal_gluino-2400,fail,default,2,SIGNAL,1.0,lumi,.//HSCP_Signal_gluino-2400-SR1.root,hfail,Signal_gluino-2400,HSCP signal,,,lnN,,,1.016
110,Signal_gluino-2400,fail,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_gluino-2400-SR1.root,hfail_PUsyst_up,Signal_gluino-2400,HSCP signal,,Up,shapes,1.0,PUsyst,
111,Signal_gluino-2400,fail,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_gluino-2400-SR1.root,hfail_PUsyst_down,Signal_gluino-2400,HSCP signal,,Down,shapes,1.0,PUsyst,
112,Signal_gluino-2400,fail,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_gluino-2400-SR1.root,hfail_Fsyst_up,Signal_gluino-2400,HSCP signal,,Up,shapes,1.0,Fsyst,
113,Signal_gluino-2400,fail,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_gluino-2400-SR1.root,hfail_Fsyst_down,Signal_gluino-2400,HSCP signal,,Down,shapes,1.0,Fsyst,
114,Signal_gluino-2400,fail,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_gluino-2400-SR1.root,hfail_Gsyst_up,Signal_gluino-2400,HSCP signal,,Up,shapes,1.0,Gsyst,
115,Signal_gluino-2400,fail,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_gluino-2400-SR1.root,hfail_Gsyst_down,Signal_gluino-2400,HSCP signal,,Down,shapes,1.0,Gsyst,
116,Signal_gluino-2400,fail,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_gluino-2400-SR1.root,hfail_Triggersyst_up,Signal_gluino-2400,HSCP signal,,Up,shapes,1.0,Triggersyst,
117,Signal_gluino-2400,fail,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_gluino-2400-SR1.root,hfail_Triggersyst_down,Signal_gluino-2400,HSCP signal,,Down,shapes,1.0,Triggersyst,
118,Signal_gluino-2400,fail,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_gluino-2400-SR1.root,hfail_Ptsyst_up,Signal_gluino-2400,HSCP signal,,Up,shapes,1.0,Ptsyst,
119,Signal_gluino-2400,fail,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_gluino-2400-SR1.root,hfail_Ptsyst_down,Signal_gluino-2400,HSCP signal,,Down,shapes,1.0,Ptsyst,
120,Signal_gluino-2400,fail,default,2,SIGNAL,1.0,systOnMuReco,.//HSCP_Signal_gluino-2400-SR1.root,hfail_MuonRecoSF_up,Signal_gluino-2400,HSCP signal,,Up,shapes,1.0,MuonRecoSF,
121,Signal_gluino-2400,fail,default,2,SIGNAL,1.0,systOnMuReco,.//HSCP_Signal_gluino-2400-SR1.root,hfail_MuonRecoSF_down,Signal_gluino-2400,HSCP signal,,Down,shapes,1.0,MuonRecoSF,
122,Signal_gluino-2400,fail,default,2,SIGNAL,1.0,systOnMuID,.//HSCP_Signal_gluino-2400-SR1.root,hfail_MuonIDSF_up,Signal_gluino-2400,HSCP signal,,Up,shapes,1.0,MuonIDSF,
123,Signal_gluino-2400,fail,default,2,SIGNAL,1.0,systOnMuID,.//HSCP_Signal_gluino-2400-SR1.root,hfail_MuonIDSF_down,Signal_gluino-2400,HSCP signal,,Down,shapes,1.0,MuonIDSF,
124,Signal_gluino-2400,fail,default,2,SIGNAL,1.0,systOnMuTrigger,.//HSCP_Signal_gluino-2400-SR1.root,hfail_MuonTriggerSF_up,Signal_gluino-2400,HSCP signal,,Up,shapes,1.0,MuonTriggerSF,
125,Signal_gluino-2400,fail,default,2,SIGNAL,1.0,systOnMuTrigger,.//HSCP_Signal_gluino-2400-SR1.root,hfail_MuonTriggerSF_down,Signal_gluino-2400,HSCP signal,,Down,shapes,1.0,MuonTriggerSF,
126,Signal_gluino-2400,fail,default,2,SIGNAL,1.0,nominal,.//HSCP_Signal_gluino-2400-SR1.root,hfail,Signal_gluino-2400,HSCP signal,,,,,,
343,data_obs,pass,default,1,DATA,1.0,nominal,.//HSCP_Data-SR1.root,hpass,Data,Data,,,,,,
452,Signal_gluino-2400,pass,default,2,SIGNAL,1.0,lumi,.//HSCP_Signal_gluino-2400-SR1.root,hpass,Signal_gluino-2400,HSCP signal,,,lnN,,,1.016
453,Signal_gluino-2400,pass,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_gluino-2400-SR1.root,hpass_PUsyst_up,Signal_gluino-2400,HSCP signal,,Up,shapes,1.0,PUsyst,
454,Signal_gluino-2400,pass,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_gluino-2400-SR1.root,hpass_PUsyst_down,Signal_gluino-2400,HSCP signal,,Down,shapes,1.0,PUsyst,
455,Signal_gluino-2400,pass,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_gluino-2400-SR1.root,hpass_Fsyst_up,Signal_gluino-2400,HSCP signal,,Up,shapes,1.0,Fsyst,
456,Signal_gluino-2400,pass,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_gluino-2400-SR1.root,hpass_Fsyst_down,Signal_gluino-2400,HSCP signal,,Down,shapes,1.0,Fsyst,
457,Signal_gluino-2400,pass,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_gluino-2400-SR1.root,hpass_Gsyst_up,Signal_gluino-2400,HSCP signal,,Up,shapes,1.0,Gsyst,
458,Signal_gluino-2400,pass,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_gluino-2400-SR1.root,hpass_Gsyst_down,Signal_gluino-2400,HSCP signal,,Down,shapes,1.0,Gsyst,
459,Signal_gluino-2400,pass,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_gluino-2400-SR1.root,hpass_Triggersyst_up,Signal_gluino-2400,HSCP signal,,Up,shapes,1.0,Triggersyst,
460,Signal_gluino-2400,pass,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_gluino-2400-SR1.root,hpass_Triggersyst_down,Signal_gluino-2400,HSCP signal,,Down,shapes,1.0,Triggersyst,
461,Signal_gluino-2400,pass,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_gluino-2400-SR1.root,hpass_Ptsyst_up,Signal_gluino-2400,HSCP signal,,Up,shapes,1.0,Ptsyst,
462,Signal_gluino-2400,pass,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_gluino-2400-SR1.root,hpass_Ptsyst_down,Signal_gluino-2400,HSCP signal,,Down,shapes,1.0,Ptsyst,
463,Signal_gluino-2400,pass,default,2,SIGNAL,1.0,systOnMuReco,.//HSCP_Signal_gluino-2400-SR1.root,hpass_MuonRecoSF_up,Signal_gluino-2400,HSCP signal,,Up,shapes,1.0,MuonRecoSF,
464,Signal_gluino-2400,pass,default,2,SIGNAL,1.0,systOnMuReco,.//HSCP_Signal_gluino-2400-SR1.root,hpass_MuonRecoSF_down,Signal_gluino-2400,HSCP signal,,Down,shapes,1.0,MuonRecoSF,
465,Signal_gluino-2400,pass,default,2,SIGNAL,1.0,systOnMuID,.//HSCP_Signal_gluino-2400-SR1.root,hpass_MuonIDSF_up,Signal_gluino-2400,HSCP signal,,Up,shapes,1.0,MuonIDSF,
466,Signal_gluino-2400,pass,default,2,SIGNAL,1.0,systOnMuID,.//HSCP_Signal_gluino-2400-SR1.root,hpass_MuonIDSF_down,Signal_gluino-2400,HSCP signal,,Down,shapes,1.0,MuonIDSF,
467,Signal_gluino-2400,pass,default,2,SIGNAL,1.0,systOnMuTrigger,.//HSCP_Signal_gluino-2400-SR1.root,hpass_MuonTriggerSF_up,Signal_gluino-2400,HSCP signal,,Up,shapes,1.0,MuonTriggerSF,
468,Signal_gluino-2400,pass,default,2,SIGNAL,1.0,systOnMuTrigger,.//HSCP_Signal_gluino-2400-SR1.root,hpass_MuonTriggerSF_down,Signal_gluino-2400,HSCP signal,,Down,shapes,1.0,MuonTriggerSF,
469,Signal_gluino-2400,pass,default,2,SIGNAL,1.0,nominal,.//HSCP_Signal_gluino-2400-SR1.root,hpass,Signal_gluino-2400,HSCP signal,,,,,,
