,process,region,binning,color,process_type,scale,variation,source_filename,source_histname,alias,title,combine_idx,direction,syst_type,shapes,variation_alias,lnN
0,data_obs,fail,default,1,DATA,1.0,nominal,.//HSCP_Data-SR1.root,hfail,Data,Data,,,,,,
469,Signal_gmsbStau-745,fail,default,2,SIGNAL,1.0,lumi,.//HSCP_Signal_gmsbStau-745-SR1.root,hfail,Signal_gmsbStau-745,HSCP signal,,,lnN,,,1.016
470,Signal_gmsbStau-745,fail,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_gmsbStau-745-SR1.root,hfail_PUsyst_up,Signal_gmsbStau-745,HSCP signal,,Up,shapes,1.0,PUsyst,
471,Signal_gmsbStau-745,fail,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_gmsbStau-745-SR1.root,hfail_PUsyst_down,Signal_gmsbStau-745,HSCP signal,,Down,shapes,1.0,PUsyst,
472,Signal_gmsbStau-745,fail,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_gmsbStau-745-SR1.root,hfail_Fsyst_up,Signal_gmsbStau-745,HSCP signal,,Up,shapes,1.0,Fsyst,
473,Signal_gmsbStau-745,fail,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_gmsbStau-745-SR1.root,hfail_Fsyst_down,Signal_gmsbStau-745,HSCP signal,,Down,shapes,1.0,Fsyst,
474,Signal_gmsbStau-745,fail,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_gmsbStau-745-SR1.root,hfail_Gsyst_up,Signal_gmsbStau-745,HSCP signal,,Up,shapes,1.0,Gsyst,
475,Signal_gmsbStau-745,fail,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_gmsbStau-745-SR1.root,hfail_Gsyst_down,Signal_gmsbStau-745,HSCP signal,,Down,shapes,1.0,Gsyst,
476,Signal_gmsbStau-745,fail,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_gmsbStau-745-SR1.root,hfail_Triggersyst_up,Signal_gmsbStau-745,HSCP signal,,Up,shapes,1.0,Triggersyst,
477,Signal_gmsbStau-745,fail,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_gmsbStau-745-SR1.root,hfail_Triggersyst_down,Signal_gmsbStau-745,HSCP signal,,Down,shapes,1.0,Triggersyst,
478,Signal_gmsbStau-745,fail,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_gmsbStau-745-SR1.root,hfail_Ptsyst_up,Signal_gmsbStau-745,HSCP signal,,Up,shapes,1.0,Ptsyst,
479,Signal_gmsbStau-745,fail,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_gmsbStau-745-SR1.root,hfail_Ptsyst_down,Signal_gmsbStau-745,HSCP signal,,Down,shapes,1.0,Ptsyst,
480,Signal_gmsbStau-745,fail,default,2,SIGNAL,1.0,systOnMuReco,.//HSCP_Signal_gmsbStau-745-SR1.root,hfail_MuonRecoSF_up,Signal_gmsbStau-745,HSCP signal,,Up,shapes,1.0,MuonRecoSF,
481,Signal_gmsbStau-745,fail,default,2,SIGNAL,1.0,systOnMuReco,.//HSCP_Signal_gmsbStau-745-SR1.root,hfail_MuonRecoSF_down,Signal_gmsbStau-745,HSCP signal,,Down,shapes,1.0,MuonRecoSF,
