,process,region,binning,color,process_type,scale,variation,source_filename,source_histname,alias,title,combine_idx,direction,syst_type,shapes,variation_alias,lnN
0,data_obs,fail,default,1,DATA,1.0,nominal,.//HSCP_Data-SR1.root,hfail,Data,Data,,,,,,
505,Signal_ppStau-1029,fail,default,2,SIGNAL,1.0,lumi,.//HSCP_Signal_ppStau-1029-SR1.root,hfail,Signal_ppStau-1029,HSCP signal,,,lnN,,,1.016
506,Signal_ppStau-1029,fail,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_ppStau-1029-SR1.root,hfail_PUsyst_up,Signal_ppStau-1029,HSCP signal,,Up,shapes,1.0,PUsyst,
507,Signal_ppStau-1029,fail,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_ppStau-1029-SR1.root,hfail_PUsyst_down,Signal_ppStau-1029,HSCP signal,,Down,shapes,1.0,PUsyst,
508,Signal_ppStau-1029,fail,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_ppStau-1029-SR1.root,hfail_Fsyst_up,Signal_ppStau-1029,HSCP signal,,Up,shapes,1.0,Fsyst,
509,Signal_ppStau-1029,fail,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_ppStau-1029-SR1.root,hfail_Fsyst_down,Signal_ppStau-1029,HSCP signal,,Down,shapes,1.0,Fsyst,
510,Signal_ppStau-1029,fail,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_ppStau-1029-SR1.root,hfail_Gsyst_up,Signal_ppStau-1029,HSCP signal,,Up,shapes,1.0,Gsyst,
511,Signal_ppStau-1029,fail,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_ppStau-1029-SR1.root,hfail_Gsyst_down,Signal_ppStau-1029,HSCP signal,,Down,shapes,1.0,Gsyst,
512,Signal_ppStau-1029,fail,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_ppStau-1029-SR1.root,hfail_Triggersyst_up,Signal_ppStau-1029,HSCP signal,,Up,shapes,1.0,Triggersyst,
513,Signal_ppStau-1029,fail,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_ppStau-1029-SR1.root,hfail_Triggersyst_down,Signal_ppStau-1029,HSCP signal,,Down,shapes,1.0,Triggersyst,
514,Signal_ppStau-1029,fail,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_ppStau-1029-SR1.root,hfail_Ptsyst_up,Signal_ppStau-1029,HSCP signal,,Up,shapes,1.0,Ptsyst,
515,Signal_ppStau-1029,fail,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_ppStau-1029-SR1.root,hfail_Ptsyst_down,Signal_ppStau-1029,HSCP signal,,Down,shapes,1.0,Ptsyst,
516,Signal_ppStau-1029,fail,default,2,SIGNAL,1.0,systOnMuReco,.//HSCP_Signal_ppStau-1029-SR1.root,hfail_MuonRecoSF_up,Signal_ppStau-1029,HSCP signal,,Up,shapes,1.0,MuonRecoSF,
517,Signal_ppStau-1029,fail,default,2,SIGNAL,1.0,systOnMuReco,.//HSCP_Signal_ppStau-1029-SR1.root,hfail_MuonRecoSF_down,Signal_ppStau-1029,HSCP signal,,Down,shapes,1.0,MuonRecoSF,
518,Signal_ppStau-1029,fail,default,2,SIGNAL,1.0,systOnMuID,.//HSCP_Signal_ppStau-1029-SR1.root,hfail_MuonIDSF_up,Signal_ppStau-1029,HSCP signal,,Up,shapes,1.0,MuonIDSF,
519,Signal_ppStau-1029,fail,default,2,SIGNAL,1.0,systOnMuID,.//HSCP_Signal_ppStau-1029-SR1.root,hfail_MuonIDSF_down,Signal_ppStau-1029,HSCP signal,,Down,shapes,1.0,MuonIDSF,
520,Signal_ppStau-1029,fail,default,2,SIGNAL,1.0,systOnMuTrigger,.//HSCP_Signal_ppStau-1029-SR1.root,hfail_MuonTriggerSF_up,Signal_ppStau-1029,HSCP signal,,Up,shapes,1.0,MuonTriggerSF,
521,Signal_ppStau-1029,fail,default,2,SIGNAL,1.0,systOnMuTrigger,.//HSCP_Signal_ppStau-1029-SR1.root,hfail_MuonTriggerSF_down,Signal_ppStau-1029,HSCP signal,,Down,shapes,1.0,MuonTriggerSF,
