,process,region,binning,color,process_type,scale,variation,source_filename,source_histname,alias,title,combine_idx,direction,syst_type,shapes,variation_alias,lnN
0,data_obs,fail,default,1,DATA,1.0,nominal,.//HSCP_Data-SR1.root,hfail,Data,Data,,,,,,
721,Signal_stop-1400,fail,default,2,SIGNAL,1.0,lumi,.//HSCP_Signal_stop-1400-SR1.root,hfail,Signal_stop-1400,HSCP signal,,,lnN,,,1.016
722,Signal_stop-1400,fail,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_stop-1400-SR1.root,hfail_PUsyst_up,Signal_stop-1400,HSCP signal,,Up,shapes,1.0,PUsyst,
723,Signal_stop-1400,fail,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_stop-1400-SR1.root,hfail_PUsyst_down,Signal_stop-1400,HSCP signal,,Down,shapes,1.0,PUsyst,
724,Signal_stop-1400,fail,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_stop-1400-SR1.root,hfail_Fsyst_up,Signal_stop-1400,HSCP signal,,Up,shapes,1.0,Fsyst,
725,Signal_stop-1400,fail,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_stop-1400-SR1.root,hfail_Fsyst_down,Signal_stop-1400,HSCP signal,,Down,shapes,1.0,Fsyst,
726,Signal_stop-1400,fail,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_stop-1400-SR1.root,hfail_Gsyst_up,Signal_stop-1400,HSCP signal,,Up,shapes,1.0,Gsyst,
727,Signal_stop-1400,fail,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_stop-1400-SR1.root,hfail_Gsyst_down,Signal_stop-1400,HSCP signal,,Down,shapes,1.0,Gsyst,
728,Signal_stop-1400,fail,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_stop-1400-SR1.root,hfail_Triggersyst_up,Signal_stop-1400,HSCP signal,,Up,shapes,1.0,Triggersyst,
729,Signal_stop-1400,fail,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_stop-1400-SR1.root,hfail_Triggersyst_down,Signal_stop-1400,HSCP signal,,Down,shapes,1.0,Triggersyst,
730,Signal_stop-1400,fail,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_stop-1400-SR1.root,hfail_Ptsyst_up,Signal_stop-1400,HSCP signal,,Up,shapes,1.0,Ptsyst,
731,Signal_stop-1400,fail,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_stop-1400-SR1.root,hfail_Ptsyst_down,Signal_stop-1400,HSCP signal,,Down,shapes,1.0,Ptsyst,
732,Signal_stop-1400,fail,default,2,SIGNAL,1.0,systOnMuReco,.//HSCP_Signal_stop-1400-SR1.root,hfail_MuonRecoSF_up,Signal_stop-1400,HSCP signal,,Up,shapes,1.0,MuonRecoSF,
733,Signal_stop-1400,fail,default,2,SIGNAL,1.0,systOnMuReco,.//HSCP_Signal_stop-1400-SR1.root,hfail_MuonRecoSF_down,Signal_stop-1400,HSCP signal,,Down,shapes,1.0,MuonRecoSF,
734,Signal_stop-1400,fail,default,2,SIGNAL,1.0,systOnMuID,.//HSCP_Signal_stop-1400-SR1.root,hfail_MuonIDSF_up,Signal_stop-1400,HSCP signal,,Up,shapes,1.0,MuonIDSF,
735,Signal_stop-1400,fail,default,2,SIGNAL,1.0,systOnMuID,.//HSCP_Signal_stop-1400-SR1.root,hfail_MuonIDSF_down,Signal_stop-1400,HSCP signal,,Down,shapes,1.0,MuonIDSF,
736,Signal_stop-1400,fail,default,2,SIGNAL,1.0,systOnMuTrigger,.//HSCP_Signal_stop-1400-SR1.root,hfail_MuonTriggerSF_up,Signal_stop-1400,HSCP signal,,Up,shapes,1.0,MuonTriggerSF,
737,Signal_stop-1400,fail,default,2,SIGNAL,1.0,systOnMuTrigger,.//HSCP_Signal_stop-1400-SR1.root,hfail_MuonTriggerSF_down,Signal_stop-1400,HSCP signal,,Down,shapes,1.0,MuonTriggerSF,
738,Signal_stop-1400,fail,default,2,SIGNAL,1.0,nominal,.//HSCP_Signal_stop-1400-SR1.root,hfail,Signal_stop-1400,HSCP signal,,,,,,
1405,data_obs,pass,default,1,DATA,1.0,nominal,.//HSCP_Data-SR1.root,hpass,Data,Data,,,,,,
