,process,region,binning,color,process_type,scale,variation,source_filename,source_histname,alias,title,combine_idx,direction,syst_type,shapes,variation_alias,lnN
0,data_obs,fail,default,1,DATA,1.0,nominal,.//HSCP_Data-SR1.root,hfail,Data,Data,,,,,,
145,Signal_gluino-800,fail,default,2,SIGNAL,1.0,lumi,.//HSCP_Signal_gluino-800-SR1.root,hfail,Signal_gluino-800,HSCP signal,,,lnN,,,1.016
146,Signal_gluino-800,fail,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_gluino-800-SR1.root,hfail_PUsyst_up,Signal_gluino-800,HSCP signal,,Up,shapes,1.0,PUsyst,
147,Signal_gluino-800,fail,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_gluino-800-SR1.root,hfail_PUsyst_down,Signal_gluino-800,HSCP signal,,Down,shapes,1.0,PUsyst,
148,Signal_gluino-800,fail,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_gluino-800-SR1.root,hfail_Fsyst_up,Signal_gluino-800,HSCP signal,,Up,shapes,1.0,Fsyst,
149,Signal_gluino-800,fail,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_gluino-800-SR1.root,hfail_Fsyst_down,Signal_gluino-800,HSCP signal,,Down,shapes,1.0,Fsyst,
150,Signal_gluino-800,fail,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_gluino-800-SR1.root,hfail_Gsyst_up,Signal_gluino-800,HSCP signal,,Up,shapes,1.0,Gsyst,
151,Signal_gluino-800,fail,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_gluino-800-SR1.root,hfail_Gsyst_down,Signal_gluino-800,HSCP signal,,Down,shapes,1.0,Gsyst,
152,Signal_gluino-800,fail,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_gluino-800-SR1.root,hfail_Triggersyst_up,Signal_gluino-800,HSCP signal,,Up,shapes,1.0,Triggersyst,
153,Signal_gluino-800,fail,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_gluino-800-SR1.root,hfail_Triggersyst_down,Signal_gluino-800,HSCP signal,,Down,shapes,1.0,Triggersyst,
154,Signal_gluino-800,fail,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_gluino-800-SR1.root,hfail_Ptsyst_up,Signal_gluino-800,HSCP signal,,Up,shapes,1.0,Ptsyst,
155,Signal_gluino-800,fail,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_gluino-800-SR1.root,hfail_Ptsyst_down,Signal_gluino-800,HSCP signal,,Down,shapes,1.0,Ptsyst,
156,Signal_gluino-800,fail,default,2,SIGNAL,1.0,systOnMuReco,.//HSCP_Signal_gluino-800-SR1.root,hfail_MuonRecoSF_up,Signal_gluino-800,HSCP signal,,Up,shapes,1.0,MuonRecoSF,
157,Signal_gluino-800,fail,default,2,SIGNAL,1.0,systOnMuReco,.//HSCP_Signal_gluino-800-SR1.root,hfail_MuonRecoSF_down,Signal_gluino-800,HSCP signal,,Down,shapes,1.0,MuonRecoSF,
158,Signal_gluino-800,fail,default,2,SIGNAL,1.0,systOnMuID,.//HSCP_Signal_gluino-800-SR1.root,hfail_MuonIDSF_up,Signal_gluino-800,HSCP signal,,Up,shapes,1.0,MuonIDSF,
159,Signal_gluino-800,fail,default,2,SIGNAL,1.0,systOnMuID,.//HSCP_Signal_gluino-800-SR1.root,hfail_MuonIDSF_down,Signal_gluino-800,HSCP signal,,Down,shapes,1.0,MuonIDSF,
160,Signal_gluino-800,fail,default,2,SIGNAL,1.0,systOnMuTrigger,.//HSCP_Signal_gluino-800-SR1.root,hfail_MuonTriggerSF_up,Signal_gluino-800,HSCP signal,,Up,shapes,1.0,MuonTriggerSF,
161,Signal_gluino-800,fail,default,2,SIGNAL,1.0,systOnMuTrigger,.//HSCP_Signal_gluino-800-SR1.root,hfail_MuonTriggerSF_down,Signal_gluino-800,HSCP signal,,Down,shapes,1.0,MuonTriggerSF,
162,Signal_gluino-800,fail,default,2,SIGNAL,1.0,nominal,.//HSCP_Signal_gluino-800-SR1.root,hfail,Signal_gluino-800,HSCP signal,,,,,,
163,data_obs,pass,default,1,DATA,1.0,nominal,.//HSCP_Data-SR1.root,hpass,Data,Data,,,,,,
308,Signal_gluino-800,pass,default,2,SIGNAL,1.0,lumi,.//HSCP_Signal_gluino-800-SR1.root,hpass,Signal_gluino-800,HSCP signal,,,lnN,,,1.016
309,Signal_gluino-800,pass,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_gluino-800-SR1.root,hpass_PUsyst_up,Signal_gluino-800,HSCP signal,,Up,shapes,1.0,PUsyst,
