,process,region,binning,color,process_type,scale,variation,source_filename,source_histname,alias,title,combine_idx,direction,syst_type,shapes,variation_alias,lnN
0,data_obs,fail,default,1,DATA,1.0,nominal,.//HSCP_Data-SR1.root,hfail,Data,Data,,,,,,
811,Signal_stop-2400,fail,default,2,SIGNAL,1.0,lumi,.//HSCP_Signal_stop-2400-SR1.root,hfail,Signal_stop-2400,HSCP signal,,,lnN,,,1.016
812,Signal_stop-2400,fail,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_stop-2400-SR1.root,hfail_PUsyst_up,Signal_stop-2400,HSCP signal,,Up,shapes,1.0,PUsyst,
813,Signal_stop-2400,fail,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_stop-2400-SR1.root,hfail_PUsyst_down,Signal_stop-2400,HSCP signal,,Down,shapes,1.0,PUsyst,
814,Signal_stop-2400,fail,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_stop-2400-SR1.root,hfail_Fsyst_up,Signal_stop-2400,HSCP signal,,Up,shapes,1.0,Fsyst,
815,Signal_stop-2400,fail,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_stop-2400-SR1.root,hfail_Fsyst_down,Signal_stop-2400,HSCP signal,,Down,shapes,1.0,Fsyst,
816,Signal_stop-2400,fail,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_stop-2400-SR1.root,hfail_Gsyst_up,Signal_stop-2400,HSCP signal,,Up,shapes,1.0,Gsyst,
817,Signal_stop-2400,fail,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_stop-2400-SR1.root,hfail_Gsyst_down,Signal_stop-2400,HSCP signal,,Down,shapes,1.0,Gsyst,
818,Signal_stop-2400,fail,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_stop-2400-SR1.root,hfail_Triggersyst_up,Signal_stop-2400,HSCP signal,,Up,shapes,1.0,Triggersyst,
819,Signal_stop-2400,fail,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_stop-2400-SR1.root,hfail_Triggersyst_down,Signal_stop-2400,HSCP signal,,Down,shapes,1.0,Triggersyst,
