,process,region,binning,color,process_type,scale,variation,source_filename,source_histname,alias,title,combine_idx,direction,syst_type,shapes,variation_alias,lnN
0,data_obs,fail,default,1,DATA,1.0,nominal,.//HSCP_Data-SR1.root,hfail,Data,Data,,,,,,
1045,Signal_stopCS-500,fail,default,2,SIGNAL,1.0,lumi,.//HSCP_Signal_stopCS-500-SR1.root,hfail,Signal_stopCS-500,HSCP signal,,,lnN,,,1.016
1046,Signal_stopCS-500,fail,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_stopCS-500-SR1.root,hfail_PUsyst_up,Signal_stopCS-500,HSCP signal,,Up,shapes,1.0,PUsyst,
1047,Signal_stopCS-500,fail,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_stopCS-500-SR1.root,hfail_PUsyst_down,Signal_stopCS-500,HSCP signal,,Down,shapes,1.0,PUsyst,
1048,Signal_stopCS-500,fail,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_stopCS-500-SR1.root,hfail_Fsyst_up,Signal_stopCS-500,HSCP signal,,Up,shapes,1.0,Fsyst,
1049,Signal_stopCS-500,fail,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_stopCS-500-SR1.root,hfail_Fsyst_down,Signal_stopCS-500,HSCP signal,,Down,shapes,1.0,Fsyst,
1050,Signal_stopCS-500,fail,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_stopCS-500-SR1.root,hfail_Gsyst_up,Signal_stopCS-500,HSCP signal,,Up,shapes,1.0,Gsyst,
1051,Signal_stopCS-500,fail,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_stopCS-500-SR1.root,hfail_Gsyst_down,Signal_stopCS-500,HSCP signal,,Down,shapes,1.0,Gsyst,
1052,Signal_stopCS-500,fail,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_stopCS-500-SR1.root,hfail_Triggersyst_up,Signal_stopCS-500,HSCP signal,,Up,shapes,1.0,Triggersyst,
1053,Signal_stopCS-500,fail,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_stopCS-500-SR1.root,hfail_Triggersyst_down,Signal_stopCS-500,HSCP signal,,Down,shapes,1.0,Triggersyst,
1054,Signal_stopCS-500,fail,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_stopCS-500-SR1.root,hfail_Ptsyst_up,Signal_stopCS-500,HSCP signal,,Up,shapes,1.0,Ptsyst,
1055,Signal_stopCS-500,fail,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_stopCS-500-SR1.root,hfail_Ptsyst_down,Signal_stopCS-500,HSCP signal,,Down,shapes,1.0,Ptsyst,
1056,Signal_stopCS-500,fail,default,2,SIGNAL,1.0,systOnMuReco,.//HSCP_Signal_stopCS-500-SR1.root,hfail_MuonRecoSF_up,Signal_stopCS-500,HSCP signal,,Up,shapes,1.0,MuonRecoSF,
1057,Signal_stopCS-500,fail,default,2,SIGNAL,1.0,systOnMuReco,.//HSCP_Signal_stopCS-500-SR1.root,hfail_MuonRecoSF_down,Signal_stopCS-500,HSCP signal,,Down,shapes,1.0,MuonRecoSF,
1058,Signal_stopCS-500,fail,default,2,SIGNAL,1.0,systOnMuID,.//HSCP_Signal_stopCS-500-SR1.root,hfail_MuonIDSF_up,Signal_stopCS-500,HSCP signal,,Up,shapes,1.0,MuonIDSF,
1059,Signal_stopCS-500,fail,default,2,SIGNAL,1.0,systOnMuID,.//HSCP_Signal_stopCS-500-SR1.root,hfail_MuonIDSF_down,Signal_stopCS-500,HSCP signal,,Down,shapes,1.0,MuonIDSF,
1060,Signal_stopCS-500,fail,default,2,SIGNAL,1.0,systOnMuTrigger,.//HSCP_Signal_stopCS-500-SR1.root,hfail_MuonTriggerSF_up,Signal_stopCS-500,HSCP signal,,Up,shapes,1.0,MuonTriggerSF,
1061,Signal_stopCS-500,fail,default,2,SIGNAL,1.0,systOnMuTrigger,.//HSCP_Signal_stopCS-500-SR1.root,hfail_MuonTriggerSF_down,Signal_stopCS-500,HSCP signal,,Down,shapes,1.0,MuonTriggerSF,
1062,Signal_stopCS-500,fail,default,2,SIGNAL,1.0,nominal,.//HSCP_Signal_stopCS-500-SR1.root,hfail,Signal_stopCS-500,HSCP signal,,,,,,
1405,data_obs,pass,default,1,DATA,1.0,nominal,.//HSCP_Data-SR1.root,hpass,Data,Data,,,,,,
2450,Signal_stopCS-500,pass,default,2,SIGNAL,1.0,lumi,.//HSCP_Signal_stopCS-500-SR1.root,hpass,Signal_stopCS-500,HSCP signal,,,lnN,,,1.016
2451,Signal_stopCS-500,pass,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_stopCS-500-SR1.root,hpass_PUsyst_up,Signal_stopCS-500,HSCP signal,,Up,shapes,1.0,PUsyst,
2452,Signal_stopCS-500,pass,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_stopCS-500-SR1.root,hpass_PUsyst_down,Signal_stopCS-500,HSCP signal,,Down,shapes,1.0,PUsyst,
2453,Signal_stopCS-500,pass,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_stopCS-500-SR1.root,hpass_Fsyst_up,Signal_stopCS-500,HSCP signal,,Up,shapes,1.0,Fsyst,
2454,Signal_stopCS-500,pass,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_stopCS-500-SR1.root,hpass_Fsyst_down,Signal_stopCS-500,HSCP signal,,Down,shapes,1.0,Fsyst,
2455,Signal_stopCS-500,pass,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_stopCS-500-SR1.root,hpass_Gsyst_up,Signal_stopCS-500,HSCP signal,,Up,shapes,1.0,Gsyst,
2456,Signal_stopCS-500,pass,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_stopCS-500-SR1.root,hpass_Gsyst_down,Signal_stopCS-500,HSCP signal,,Down,shapes,1.0,Gsyst,
2457,Signal_stopCS-500,pass,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_stopCS-500-SR1.root,hpass_Triggersyst_up,Signal_stopCS-500,HSCP signal,,Up,shapes,1.0,Triggersyst,
2458,Signal_stopCS-500,pass,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_stopCS-500-SR1.root,hpass_Triggersyst_down,Signal_stopCS-500,HSCP signal,,Down,shapes,1.0,Triggersyst,
2459,Signal_stopCS-500,pass,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_stopCS-500-SR1.root,hpass_Ptsyst_up,Signal_stopCS-500,HSCP signal,,Up,shapes,1.0,Ptsyst,
2460,Signal_stopCS-500,pass,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_stopCS-500-SR1.root,hpass_Ptsyst_down,Signal_stopCS-500,HSCP signal,,Down,shapes,1.0,Ptsyst,
2461,Signal_stopCS-500,pass,default,2,SIGNAL,1.0,systOnMuReco,.//HSCP_Signal_stopCS-500-SR1.root,hpass_MuonRecoSF_up,Signal_stopCS-500,HSCP signal,,Up,shapes,1.0,MuonRecoSF,
