,process,region,binning,color,process_type,scale,variation,source_filename,source_histname,alias,title,combine_idx,direction,syst_type,shapes,variation_alias,lnN
0,data_obs,fail,default,1,DATA,2.0,nominal,.//HSCP_Data.root,hfail,Data,Data,,,,,,
25,HSCP_gluino-2200,fail,default,2,SIGNAL,2.0,lumi,.//HSCP_Signal_gluino-2200.root,hfail,Signal_gluino-2200,HSCP gluino 2200 GeV,,,lnN,,,1.018
26,HSCP_gluino-2200,fail,default,2,SIGNAL,2.0,pileup,.//HSCP_Signal_gluino-2200.root,hfail_PUsyst_up,Signal_gluino-2200,HSCP gluino 2200 GeV,,Up,shapes,1.0,PUsyst,
27,HSCP_gluino-2200,fail,default,2,SIGNAL,2.0,pileup,.//HSCP_Signal_gluino-2200.root,hfail_PUsyst_down,Signal_gluino-2200,HSCP gluino 2200 GeV,,Down,shapes,1.0,PUsyst,
28,HSCP_gluino-2200,fail,default,2,SIGNAL,2.0,nominal,.//HSCP_Signal_gluino-2200.root,hfail,Signal_gluino-2200,HSCP gluino 2200 GeV,,,,,,
37,data_obs,pass,default,1,DATA,2.0,nominal,.//HSCP_Data.root,hpass,Data,Data,,,,,,
62,HSCP_gluino-2200,pass,default,2,SIGNAL,2.0,lumi,.//HSCP_Signal_gluino-2200.root,hpass,Signal_gluino-2200,HSCP gluino 2200 GeV,,,lnN,,,1.018
63,HSCP_gluino-2200,pass,default,2,SIGNAL,2.0,pileup,.//HSCP_Signal_gluino-2200.root,hpass_PUsyst_up,Signal_gluino-2200,HSCP gluino 2200 GeV,,Up,shapes,1.0,PUsyst,
64,HSCP_gluino-2200,pass,default,2,SIGNAL,2.0,pileup,.//HSCP_Signal_gluino-2200.root,hpass_PUsyst_down,Signal_gluino-2200,HSCP gluino 2200 GeV,,Down,shapes,1.0,PUsyst,
65,HSCP_gluino-2200,pass,default,2,SIGNAL,2.0,nominal,.//HSCP_Signal_gluino-2200.root,hpass,Signal_gluino-2200,HSCP gluino 2200 GeV,,,,,,
