,process,region,binning,color,process_type,scale,variation,source_filename,source_histname,alias,title,combine_idx,direction,syst_type,shapes,variation_alias,lnN
0,data_obs,fail,default,1,DATA,1.0,nominal,.//HSCP_Data.root,hfail,Data,Data,,,,,,
1,HSCP_gluino-800,fail,default,2,SIGNAL,10.0,lumi,.//HSCP_Signal_gluino-800.root,hfail,Signal_gluino-800,HSCP gluino 800 GeV,,,lnN,,,1.018
2,HSCP_gluino-800,fail,default,2,SIGNAL,10.0,pileup,.//HSCP_Signal_gluino-800.root,hfail_PUsyst_up,Signal_gluino-800,HSCP gluino 800 GeV,,Up,shapes,1.0,PUsyst,
3,HSCP_gluino-800,fail,default,2,SIGNAL,10.0,pileup,.//HSCP_Signal_gluino-800.root,hfail_PUsyst_down,Signal_gluino-800,HSCP gluino 800 GeV,,Down,shapes,1.0,PUsyst,
4,HSCP_gluino-800,fail,default,2,SIGNAL,10.0,nominal,.//HSCP_Signal_gluino-800.root,hfail,Signal_gluino-800,HSCP gluino 800 GeV,,,,,,
5,HSCP_gluino-1000,fail,default,2,SIGNAL,10.0,lumi,.//HSCP_Signal_gluino-1000.root,hfail,Signal_gluino-1000,HSCP gluino 1000 GeV,,,lnN,,,1.018
6,HSCP_gluino-1000,fail,default,2,SIGNAL,10.0,pileup,.//HSCP_Signal_gluino-1000.root,hfail_PUsyst_up,Signal_gluino-1000,HSCP gluino 1000 GeV,,Up,shapes,1.0,PUsyst,
7,HSCP_gluino-1000,fail,default,2,SIGNAL,10.0,pileup,.//HSCP_Signal_gluino-1000.root,hfail_PUsyst_down,Signal_gluino-1000,HSCP gluino 1000 GeV,,Down,shapes,1.0,PUsyst,
8,HSCP_gluino-1000,fail,default,2,SIGNAL,10.0,nominal,.//HSCP_Signal_gluino-1000.root,hfail,Signal_gluino-1000,HSCP gluino 1000 GeV,,,,,,
9,HSCP_gluino-1400,fail,default,2,SIGNAL,10.0,lumi,.//HSCP_Signal_gluino-1400.root,hfail,Signal_gluino-1400,HSCP gluino 1400 GeV,,,lnN,,,1.018
10,HSCP_gluino-1400,fail,default,2,SIGNAL,10.0,pileup,.//HSCP_Signal_gluino-1400.root,hfail_PUsyst_up,Signal_gluino-1400,HSCP gluino 1400 GeV,,Up,shapes,1.0,PUsyst,
11,HSCP_gluino-1400,fail,default,2,SIGNAL,10.0,pileup,.//HSCP_Signal_gluino-1400.root,hfail_PUsyst_down,Signal_gluino-1400,HSCP gluino 1400 GeV,,Down,shapes,1.0,PUsyst,
12,HSCP_gluino-1400,fail,default,2,SIGNAL,10.0,nominal,.//HSCP_Signal_gluino-1400.root,hfail,Signal_gluino-1400,HSCP gluino 1400 GeV,,,,,,
13,HSCP_gluino-1600,fail,default,2,SIGNAL,10.0,lumi,.//HSCP_Signal_gluino-1600.root,hfail,Signal_gluino-1600,HSCP gluino 1600 GeV,,,lnN,,,1.018
14,HSCP_gluino-1600,fail,default,2,SIGNAL,10.0,pileup,.//HSCP_Signal_gluino-1600.root,hfail_PUsyst_up,Signal_gluino-1600,HSCP gluino 1600 GeV,,Up,shapes,1.0,PUsyst,
15,HSCP_gluino-1600,fail,default,2,SIGNAL,10.0,pileup,.//HSCP_Signal_gluino-1600.root,hfail_PUsyst_down,Signal_gluino-1600,HSCP gluino 1600 GeV,,Down,shapes,1.0,PUsyst,
16,HSCP_gluino-1600,fail,default,2,SIGNAL,10.0,nominal,.//HSCP_Signal_gluino-1600.root,hfail,Signal_gluino-1600,HSCP gluino 1600 GeV,,,,,,
17,HSCP_gluino-1800,fail,default,2,SIGNAL,10.0,lumi,.//HSCP_Signal_gluino-1800.root,hfail,Signal_gluino-1800,HSCP gluino 1800 GeV,,,lnN,,,1.018
18,HSCP_gluino-1800,fail,default,2,SIGNAL,10.0,pileup,.//HSCP_Signal_gluino-1800.root,hfail_PUsyst_up,Signal_gluino-1800,HSCP gluino 1800 GeV,,Up,shapes,1.0,PUsyst,
19,HSCP_gluino-1800,fail,default,2,SIGNAL,10.0,pileup,.//HSCP_Signal_gluino-1800.root,hfail_PUsyst_down,Signal_gluino-1800,HSCP gluino 1800 GeV,,Down,shapes,1.0,PUsyst,
20,HSCP_gluino-1800,fail,default,2,SIGNAL,10.0,nominal,.//HSCP_Signal_gluino-1800.root,hfail,Signal_gluino-1800,HSCP gluino 1800 GeV,,,,,,
21,HSCP_gluino-2000,fail,default,2,SIGNAL,10.0,lumi,.//HSCP_Signal_gluino-2000.root,hfail,Signal_gluino-2000,HSCP gluino 2000 GeV,,,lnN,,,1.018
