,process,region,binning,color,process_type,scale,variation,source_filename,source_histname,alias,title,combine_idx,direction,syst_type,shapes,variation_alias,lnN
0,data_obs,fail,default,1,DATA,1.0,nominal,.//HSCP_Data.root,hfail,Data,Data,,,,,,
61,HSCP_gluino-2000,fail,default,2,SIGNAL,10.0,lumi,.//HSCP_Signal_gluino-2000.root,hfail,Signal_gluino-2000,HSCP gluino 2000 GeV,,,lnN,,,1.018
62,HSCP_gluino-2000,fail,default,2,SIGNAL,10.0,pileup,.//HSCP_Signal_gluino-2000.root,hfail_PUsyst_up,Signal_gluino-2000,HSCP gluino 2000 GeV,,Up,shapes,1.0,PUsyst,
63,HSCP_gluino-2000,fail,default,2,SIGNAL,10.0,pileup,.//HSCP_Signal_gluino-2000.root,hfail_PUsyst_down,Signal_gluino-2000,HSCP gluino 2000 GeV,,Down,shapes,1.0,PUsyst,
64,HSCP_gluino-2000,fail,default,2,SIGNAL,10.0,systOnF,.//HSCP_Signal_gluino-2000.root,hfail_Fsyst_up,Signal_gluino-2000,HSCP gluino 2000 GeV,,Up,shapes,1.0,Fsyst,
65,HSCP_gluino-2000,fail,default,2,SIGNAL,10.0,systOnF,.//HSCP_Signal_gluino-2000.root,hfail_Fsyst_down,Signal_gluino-2000,HSCP gluino 2000 GeV,,Down,shapes,1.0,Fsyst,
66,HSCP_gluino-2000,fail,default,2,SIGNAL,10.0,systOnG,.//HSCP_Signal_gluino-2000.root,hfail_Gsyst_up,Signal_gluino-2000,HSCP gluino 2000 GeV,,Up,shapes,1.0,Gsyst,
67,HSCP_gluino-2000,fail,default,2,SIGNAL,10.0,systOnG,.//HSCP_Signal_gluino-2000.root,hfail_Gsyst_down,Signal_gluino-2000,HSCP gluino 2000 GeV,,Down,shapes,1.0,Gsyst,
68,HSCP_gluino-2000,fail,default,2,SIGNAL,10.0,systOnTrigger,.//HSCP_Signal_gluino-2000.root,hfail_Triggersyst_up,Signal_gluino-2000,HSCP gluino 2000 GeV,,Up,shapes,1.0,Triggersyst,
69,HSCP_gluino-2000,fail,default,2,SIGNAL,10.0,systOnTrigger,.//HSCP_Signal_gluino-2000.root,hfail_Triggersyst_down,Signal_gluino-2000,HSCP gluino 2000 GeV,,Down,shapes,1.0,Triggersyst,
70,HSCP_gluino-2000,fail,default,2,SIGNAL,10.0,systOnPt,.//HSCP_Signal_gluino-2000.root,hfail_Ptsyst_up,Signal_gluino-2000,HSCP gluino 2000 GeV,,Up,shapes,1.0,Ptsyst,
71,HSCP_gluino-2000,fail,default,2,SIGNAL,10.0,systOnPt,.//HSCP_Signal_gluino-2000.root,hfail_Ptsyst_down,Signal_gluino-2000,HSCP gluino 2000 GeV,,Down,shapes,1.0,Ptsyst,
72,HSCP_gluino-2000,fail,default,2,SIGNAL,10.0,nominal,.//HSCP_Signal_gluino-2000.root,hfail,Signal_gluino-2000,HSCP gluino 2000 GeV,,,,,,
109,data_obs,pass,default,1,DATA,1.0,nominal,.//HSCP_Data.root,hpass,Data,Data,,,,,,
170,HSCP_gluino-2000,pass,default,2,SIGNAL,10.0,lumi,.//HSCP_Signal_gluino-2000.root,hpass,Signal_gluino-2000,HSCP gluino 2000 GeV,,,lnN,,,1.018
171,HSCP_gluino-2000,pass,default,2,SIGNAL,10.0,pileup,.//HSCP_Signal_gluino-2000.root,hpass_PUsyst_up,Signal_gluino-2000,HSCP gluino 2000 GeV,,Up,shapes,1.0,PUsyst,
172,HSCP_gluino-2000,pass,default,2,SIGNAL,10.0,pileup,.//HSCP_Signal_gluino-2000.root,hpass_PUsyst_down,Signal_gluino-2000,HSCP gluino 2000 GeV,,Down,shapes,1.0,PUsyst,
173,HSCP_gluino-2000,pass,default,2,SIGNAL,10.0,systOnF,.//HSCP_Signal_gluino-2000.root,hpass_Fsyst_up,Signal_gluino-2000,HSCP gluino 2000 GeV,,Up,shapes,1.0,Fsyst,
174,HSCP_gluino-2000,pass,default,2,SIGNAL,10.0,systOnF,.//HSCP_Signal_gluino-2000.root,hpass_Fsyst_down,Signal_gluino-2000,HSCP gluino 2000 GeV,,Down,shapes,1.0,Fsyst,
175,HSCP_gluino-2000,pass,default,2,SIGNAL,10.0,systOnG,.//HSCP_Signal_gluino-2000.root,hpass_Gsyst_up,Signal_gluino-2000,HSCP gluino 2000 GeV,,Up,shapes,1.0,Gsyst,
176,HSCP_gluino-2000,pass,default,2,SIGNAL,10.0,systOnG,.//HSCP_Signal_gluino-2000.root,hpass_Gsyst_down,Signal_gluino-2000,HSCP gluino 2000 GeV,,Down,shapes,1.0,Gsyst,
177,HSCP_gluino-2000,pass,default,2,SIGNAL,10.0,systOnTrigger,.//HSCP_Signal_gluino-2000.root,hpass_Triggersyst_up,Signal_gluino-2000,HSCP gluino 2000 GeV,,Up,shapes,1.0,Triggersyst,
178,HSCP_gluino-2000,pass,default,2,SIGNAL,10.0,systOnTrigger,.//HSCP_Signal_gluino-2000.root,hpass_Triggersyst_down,Signal_gluino-2000,HSCP gluino 2000 GeV,,Down,shapes,1.0,Triggersyst,
179,HSCP_gluino-2000,pass,default,2,SIGNAL,10.0,systOnPt,.//HSCP_Signal_gluino-2000.root,hpass_Ptsyst_up,Signal_gluino-2000,HSCP gluino 2000 GeV,,Up,shapes,1.0,Ptsyst,
180,HSCP_gluino-2000,pass,default,2,SIGNAL,10.0,systOnPt,.//HSCP_Signal_gluino-2000.root,hpass_Ptsyst_down,Signal_gluino-2000,HSCP gluino 2000 GeV,,Down,shapes,1.0,Ptsyst,
181,HSCP_gluino-2000,pass,default,2,SIGNAL,10.0,nominal,.//HSCP_Signal_gluino-2000.root,hpass,Signal_gluino-2000,HSCP gluino 2000 GeV,,,,,,
