,process,region,binning,color,process_type,scale,variation,source_filename,source_histname,alias,title,combine_idx,direction,syst_type,shapes,variation_alias,lnN
0,data_obs,fail,default,1,DATA,1.0,nominal,.//HSCP_Data.root,hfail,Data,Data,,,,,,
73,HSCP_gluino-2200,fail,default,2,SIGNAL,1.0,lumi,.//HSCP_Signal_gluino-2200.root,hfail,Signal_gluino-2200,HSCP gluino 2200 GeV,,,lnN,,,1.018
74,HSCP_gluino-2200,fail,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_gluino-2200.root,hfail_PUsyst_up,Signal_gluino-2200,HSCP gluino 2200 GeV,,Up,shapes,1.0,PUsyst,
75,HSCP_gluino-2200,fail,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_gluino-2200.root,hfail_PUsyst_down,Signal_gluino-2200,HSCP gluino 2200 GeV,,Down,shapes,1.0,PUsyst,
76,HSCP_gluino-2200,fail,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_gluino-2200.root,hfail_Fsyst_up,Signal_gluino-2200,HSCP gluino 2200 GeV,,Up,shapes,1.0,Fsyst,
77,HSCP_gluino-2200,fail,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_gluino-2200.root,hfail_Fsyst_down,Signal_gluino-2200,HSCP gluino 2200 GeV,,Down,shapes,1.0,Fsyst,
78,HSCP_gluino-2200,fail,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_gluino-2200.root,hfail_Gsyst_up,Signal_gluino-2200,HSCP gluino 2200 GeV,,Up,shapes,1.0,Gsyst,
79,HSCP_gluino-2200,fail,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_gluino-2200.root,hfail_Gsyst_down,Signal_gluino-2200,HSCP gluino 2200 GeV,,Down,shapes,1.0,Gsyst,
80,HSCP_gluino-2200,fail,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_gluino-2200.root,hfail_Triggersyst_up,Signal_gluino-2200,HSCP gluino 2200 GeV,,Up,shapes,1.0,Triggersyst,
81,HSCP_gluino-2200,fail,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_gluino-2200.root,hfail_Triggersyst_down,Signal_gluino-2200,HSCP gluino 2200 GeV,,Down,shapes,1.0,Triggersyst,
82,HSCP_gluino-2200,fail,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_gluino-2200.root,hfail_Ptsyst_up,Signal_gluino-2200,HSCP gluino 2200 GeV,,Up,shapes,1.0,Ptsyst,
83,HSCP_gluino-2200,fail,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_gluino-2200.root,hfail_Ptsyst_down,Signal_gluino-2200,HSCP gluino 2200 GeV,,Down,shapes,1.0,Ptsyst,
84,HSCP_gluino-2200,fail,default,2,SIGNAL,1.0,nominal,.//HSCP_Signal_gluino-2200.root,hfail,Signal_gluino-2200,HSCP gluino 2200 GeV,,,,,,
241,data_obs,pass,default,1,DATA,1.0,nominal,.//HSCP_Data.root,hpass,Data,Data,,,,,,
314,HSCP_gluino-2200,pass,default,2,SIGNAL,1.0,lumi,.//HSCP_Signal_gluino-2200.root,hpass,Signal_gluino-2200,HSCP gluino 2200 GeV,,,lnN,,,1.018
315,HSCP_gluino-2200,pass,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_gluino-2200.root,hpass_PUsyst_up,Signal_gluino-2200,HSCP gluino 2200 GeV,,Up,shapes,1.0,PUsyst,
316,HSCP_gluino-2200,pass,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_gluino-2200.root,hpass_PUsyst_down,Signal_gluino-2200,HSCP gluino 2200 GeV,,Down,shapes,1.0,PUsyst,
317,HSCP_gluino-2200,pass,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_gluino-2200.root,hpass_Fsyst_up,Signal_gluino-2200,HSCP gluino 2200 GeV,,Up,shapes,1.0,Fsyst,
318,HSCP_gluino-2200,pass,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_gluino-2200.root,hpass_Fsyst_down,Signal_gluino-2200,HSCP gluino 2200 GeV,,Down,shapes,1.0,Fsyst,
319,HSCP_gluino-2200,pass,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_gluino-2200.root,hpass_Gsyst_up,Signal_gluino-2200,HSCP gluino 2200 GeV,,Up,shapes,1.0,Gsyst,
320,HSCP_gluino-2200,pass,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_gluino-2200.root,hpass_Gsyst_down,Signal_gluino-2200,HSCP gluino 2200 GeV,,Down,shapes,1.0,Gsyst,
321,HSCP_gluino-2200,pass,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_gluino-2200.root,hpass_Triggersyst_up,Signal_gluino-2200,HSCP gluino 2200 GeV,,Up,shapes,1.0,Triggersyst,
322,HSCP_gluino-2200,pass,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_gluino-2200.root,hpass_Triggersyst_down,Signal_gluino-2200,HSCP gluino 2200 GeV,,Down,shapes,1.0,Triggersyst,
323,HSCP_gluino-2200,pass,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_gluino-2200.root,hpass_Ptsyst_up,Signal_gluino-2200,HSCP gluino 2200 GeV,,Up,shapes,1.0,Ptsyst,
324,HSCP_gluino-2200,pass,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_gluino-2200.root,hpass_Ptsyst_down,Signal_gluino-2200,HSCP gluino 2200 GeV,,Down,shapes,1.0,Ptsyst,
325,HSCP_gluino-2200,pass,default,2,SIGNAL,1.0,nominal,.//HSCP_Signal_gluino-2200.root,hpass,Signal_gluino-2200,HSCP gluino 2200 GeV,,,,,,
