,process,region,binning,color,process_type,scale,variation,source_filename,source_histname,alias,title,combine_idx,direction,syst_type,shapes,variation_alias,lnN
0,data_obs,fail,default,1,DATA,1.0,nominal,.//HSCP_Data.root,hfail,Data,Data,,,,,,
217,HSCP_ppStau-745,fail,default,2,SIGNAL,1.0,lumi,.//HSCP_Signal_ppStau-745.root,hfail,Signal_ppStau-745,HSCP pp stau 745 GeV,,,lnN,,,1.018
218,HSCP_ppStau-745,fail,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_ppStau-745.root,hfail_PUsyst_up,Signal_ppStau-745,HSCP pp stau 745 GeV,,Up,shapes,1.0,PUsyst,
219,HSCP_ppStau-745,fail,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_ppStau-745.root,hfail_PUsyst_down,Signal_ppStau-745,HSCP pp stau 745 GeV,,Down,shapes,1.0,PUsyst,
220,HSCP_ppStau-745,fail,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_ppStau-745.root,hfail_Fsyst_up,Signal_ppStau-745,HSCP pp stau 745 GeV,,Up,shapes,1.0,Fsyst,
221,HSCP_ppStau-745,fail,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_ppStau-745.root,hfail_Fsyst_down,Signal_ppStau-745,HSCP pp stau 745 GeV,,Down,shapes,1.0,Fsyst,
222,HSCP_ppStau-745,fail,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_ppStau-745.root,hfail_Gsyst_up,Signal_ppStau-745,HSCP pp stau 745 GeV,,Up,shapes,1.0,Gsyst,
223,HSCP_ppStau-745,fail,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_ppStau-745.root,hfail_Gsyst_down,Signal_ppStau-745,HSCP pp stau 745 GeV,,Down,shapes,1.0,Gsyst,
224,HSCP_ppStau-745,fail,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_ppStau-745.root,hfail_Triggersyst_up,Signal_ppStau-745,HSCP pp stau 745 GeV,,Up,shapes,1.0,Triggersyst,
225,HSCP_ppStau-745,fail,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_ppStau-745.root,hfail_Triggersyst_down,Signal_ppStau-745,HSCP pp stau 745 GeV,,Down,shapes,1.0,Triggersyst,
226,HSCP_ppStau-745,fail,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_ppStau-745.root,hfail_Ptsyst_up,Signal_ppStau-745,HSCP pp stau 745 GeV,,Up,shapes,1.0,Ptsyst,
227,HSCP_ppStau-745,fail,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_ppStau-745.root,hfail_Ptsyst_down,Signal_ppStau-745,HSCP pp stau 745 GeV,,Down,shapes,1.0,Ptsyst,
228,HSCP_ppStau-745,fail,default,2,SIGNAL,1.0,nominal,.//HSCP_Signal_ppStau-745.root,hfail,Signal_ppStau-745,HSCP pp stau 745 GeV,,,,,,
241,data_obs,pass,default,1,DATA,1.0,nominal,.//HSCP_Data.root,hpass,Data,Data,,,,,,
458,HSCP_ppStau-745,pass,default,2,SIGNAL,1.0,lumi,.//HSCP_Signal_ppStau-745.root,hpass,Signal_ppStau-745,HSCP pp stau 745 GeV,,,lnN,,,1.018
459,HSCP_ppStau-745,pass,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_ppStau-745.root,hpass_PUsyst_up,Signal_ppStau-745,HSCP pp stau 745 GeV,,Up,shapes,1.0,PUsyst,
460,HSCP_ppStau-745,pass,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_ppStau-745.root,hpass_PUsyst_down,Signal_ppStau-745,HSCP pp stau 745 GeV,,Down,shapes,1.0,PUsyst,
461,HSCP_ppStau-745,pass,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_ppStau-745.root,hpass_Fsyst_up,Signal_ppStau-745,HSCP pp stau 745 GeV,,Up,shapes,1.0,Fsyst,
462,HSCP_ppStau-745,pass,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_ppStau-745.root,hpass_Fsyst_down,Signal_ppStau-745,HSCP pp stau 745 GeV,,Down,shapes,1.0,Fsyst,
463,HSCP_ppStau-745,pass,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_ppStau-745.root,hpass_Gsyst_up,Signal_ppStau-745,HSCP pp stau 745 GeV,,Up,shapes,1.0,Gsyst,
464,HSCP_ppStau-745,pass,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_ppStau-745.root,hpass_Gsyst_down,Signal_ppStau-745,HSCP pp stau 745 GeV,,Down,shapes,1.0,Gsyst,
465,HSCP_ppStau-745,pass,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_ppStau-745.root,hpass_Triggersyst_up,Signal_ppStau-745,HSCP pp stau 745 GeV,,Up,shapes,1.0,Triggersyst,
466,HSCP_ppStau-745,pass,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_ppStau-745.root,hpass_Triggersyst_down,Signal_ppStau-745,HSCP pp stau 745 GeV,,Down,shapes,1.0,Triggersyst,
467,HSCP_ppStau-745,pass,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_ppStau-745.root,hpass_Ptsyst_up,Signal_ppStau-745,HSCP pp stau 745 GeV,,Up,shapes,1.0,Ptsyst,
468,HSCP_ppStau-745,pass,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_ppStau-745.root,hpass_Ptsyst_down,Signal_ppStau-745,HSCP pp stau 745 GeV,,Down,shapes,1.0,Ptsyst,
469,HSCP_ppStau-745,pass,default,2,SIGNAL,1.0,nominal,.//HSCP_Signal_ppStau-745.root,hpass,Signal_ppStau-745,HSCP pp stau 745 GeV,,,,,,
