,process,region,binning,color,process_type,scale,variation,source_filename,source_histname,alias,title,combine_idx,direction,syst_type,shapes,variation_alias,lnN
0,data_obs,fail,default,1,DATA,1.0,nominal,.//HSCP_Data.root,hfail,Data,Data,,,,,,
157,HSCP_ppStau-247,fail,default,2,SIGNAL,1.0,lumi,.//HSCP_Signal_ppStau-247.root,hfail,Signal_ppStau-247,HSCP pp stau 247 GeV,,,lnN,,,1.018
158,HSCP_ppStau-247,fail,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_ppStau-247.root,hfail_PUsyst_up,Signal_ppStau-247,HSCP pp stau 247 GeV,,Up,shapes,1.0,PUsyst,
159,HSCP_ppStau-247,fail,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_ppStau-247.root,hfail_PUsyst_down,Signal_ppStau-247,HSCP pp stau 247 GeV,,Down,shapes,1.0,PUsyst,
160,HSCP_ppStau-247,fail,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_ppStau-247.root,hfail_Fsyst_up,Signal_ppStau-247,HSCP pp stau 247 GeV,,Up,shapes,1.0,Fsyst,
161,HSCP_ppStau-247,fail,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_ppStau-247.root,hfail_Fsyst_down,Signal_ppStau-247,HSCP pp stau 247 GeV,,Down,shapes,1.0,Fsyst,
162,HSCP_ppStau-247,fail,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_ppStau-247.root,hfail_Gsyst_up,Signal_ppStau-247,HSCP pp stau 247 GeV,,Up,shapes,1.0,Gsyst,
163,HSCP_ppStau-247,fail,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_ppStau-247.root,hfail_Gsyst_down,Signal_ppStau-247,HSCP pp stau 247 GeV,,Down,shapes,1.0,Gsyst,
164,HSCP_ppStau-247,fail,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_ppStau-247.root,hfail_Triggersyst_up,Signal_ppStau-247,HSCP pp stau 247 GeV,,Up,shapes,1.0,Triggersyst,
165,HSCP_ppStau-247,fail,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_ppStau-247.root,hfail_Triggersyst_down,Signal_ppStau-247,HSCP pp stau 247 GeV,,Down,shapes,1.0,Triggersyst,
166,HSCP_ppStau-247,fail,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_ppStau-247.root,hfail_Ptsyst_up,Signal_ppStau-247,HSCP pp stau 247 GeV,,Up,shapes,1.0,Ptsyst,
167,HSCP_ppStau-247,fail,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_ppStau-247.root,hfail_Ptsyst_down,Signal_ppStau-247,HSCP pp stau 247 GeV,,Down,shapes,1.0,Ptsyst,
168,HSCP_ppStau-247,fail,default,2,SIGNAL,1.0,nominal,.//HSCP_Signal_ppStau-247.root,hfail,Signal_ppStau-247,HSCP pp stau 247 GeV,,,,,,
241,data_obs,pass,default,1,DATA,1.0,nominal,.//HSCP_Data.root,hpass,Data,Data,,,,,,
398,HSCP_ppStau-247,pass,default,2,SIGNAL,1.0,lumi,.//HSCP_Signal_ppStau-247.root,hpass,Signal_ppStau-247,HSCP pp stau 247 GeV,,,lnN,,,1.018
399,HSCP_ppStau-247,pass,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_ppStau-247.root,hpass_PUsyst_up,Signal_ppStau-247,HSCP pp stau 247 GeV,,Up,shapes,1.0,PUsyst,
400,HSCP_ppStau-247,pass,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_ppStau-247.root,hpass_PUsyst_down,Signal_ppStau-247,HSCP pp stau 247 GeV,,Down,shapes,1.0,PUsyst,
401,HSCP_ppStau-247,pass,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_ppStau-247.root,hpass_Fsyst_up,Signal_ppStau-247,HSCP pp stau 247 GeV,,Up,shapes,1.0,Fsyst,
402,HSCP_ppStau-247,pass,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_ppStau-247.root,hpass_Fsyst_down,Signal_ppStau-247,HSCP pp stau 247 GeV,,Down,shapes,1.0,Fsyst,
403,HSCP_ppStau-247,pass,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_ppStau-247.root,hpass_Gsyst_up,Signal_ppStau-247,HSCP pp stau 247 GeV,,Up,shapes,1.0,Gsyst,
404,HSCP_ppStau-247,pass,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_ppStau-247.root,hpass_Gsyst_down,Signal_ppStau-247,HSCP pp stau 247 GeV,,Down,shapes,1.0,Gsyst,
405,HSCP_ppStau-247,pass,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_ppStau-247.root,hpass_Triggersyst_up,Signal_ppStau-247,HSCP pp stau 247 GeV,,Up,shapes,1.0,Triggersyst,
406,HSCP_ppStau-247,pass,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_ppStau-247.root,hpass_Triggersyst_down,Signal_ppStau-247,HSCP pp stau 247 GeV,,Down,shapes,1.0,Triggersyst,
407,HSCP_ppStau-247,pass,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_ppStau-247.root,hpass_Ptsyst_up,Signal_ppStau-247,HSCP pp stau 247 GeV,,Up,shapes,1.0,Ptsyst,
408,HSCP_ppStau-247,pass,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_ppStau-247.root,hpass_Ptsyst_down,Signal_ppStau-247,HSCP pp stau 247 GeV,,Down,shapes,1.0,Ptsyst,
409,HSCP_ppStau-247,pass,default,2,SIGNAL,1.0,nominal,.//HSCP_Signal_ppStau-247.root,hpass,Signal_ppStau-247,HSCP pp stau 247 GeV,,,,,,
