,process,region,binning,color,process_type,scale,variation,source_filename,source_histname,alias,title,combine_idx,direction,syst_type,shapes,variation_alias,lnN
0,data_obs,fail,default,1,DATA,1.0,nominal,.//HSCP_Data-SR3.root,hfail,Data,Data,,,,,,
157,Signal_gluinoCS-2600,fail,default,2,SIGNAL,1.0,lumi,.//HSCP_Signal_gluinoCS-2600-SR3.root,hfail,Signal_gluinoCS-2600,HSCP signal,,,lnN,,,1.018
158,Signal_gluinoCS-2600,fail,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_gluinoCS-2600-SR3.root,hfail_PUsyst_up,Signal_gluinoCS-2600,HSCP signal,,Up,shapes,1.0,PUsyst,
159,Signal_gluinoCS-2600,fail,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_gluinoCS-2600-SR3.root,hfail_PUsyst_down,Signal_gluinoCS-2600,HSCP signal,,Down,shapes,1.0,PUsyst,
160,Signal_gluinoCS-2600,fail,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_gluinoCS-2600-SR3.root,hfail_Fsyst_up,Signal_gluinoCS-2600,HSCP signal,,Up,shapes,1.0,Fsyst,
161,Signal_gluinoCS-2600,fail,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_gluinoCS-2600-SR3.root,hfail_Fsyst_down,Signal_gluinoCS-2600,HSCP signal,,Down,shapes,1.0,Fsyst,
162,Signal_gluinoCS-2600,fail,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_gluinoCS-2600-SR3.root,hfail_Gsyst_up,Signal_gluinoCS-2600,HSCP signal,,Up,shapes,1.0,Gsyst,
163,Signal_gluinoCS-2600,fail,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_gluinoCS-2600-SR3.root,hfail_Gsyst_down,Signal_gluinoCS-2600,HSCP signal,,Down,shapes,1.0,Gsyst,
164,Signal_gluinoCS-2600,fail,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_gluinoCS-2600-SR3.root,hfail_Triggersyst_up,Signal_gluinoCS-2600,HSCP signal,,Up,shapes,1.0,Triggersyst,
165,Signal_gluinoCS-2600,fail,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_gluinoCS-2600-SR3.root,hfail_Triggersyst_down,Signal_gluinoCS-2600,HSCP signal,,Down,shapes,1.0,Triggersyst,
166,Signal_gluinoCS-2600,fail,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_gluinoCS-2600-SR3.root,hfail_Ptsyst_up,Signal_gluinoCS-2600,HSCP signal,,Up,shapes,1.0,Ptsyst,
167,Signal_gluinoCS-2600,fail,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_gluinoCS-2600-SR3.root,hfail_Ptsyst_down,Signal_gluinoCS-2600,HSCP signal,,Down,shapes,1.0,Ptsyst,
168,Signal_gluinoCS-2600,fail,default,2,SIGNAL,1.0,nominal,.//HSCP_Signal_gluinoCS-2600-SR3.root,hfail,Signal_gluinoCS-2600,HSCP signal,,,,,,
925,data_obs,pass,default,1,DATA,1.0,nominal,.//HSCP_Data-SR3.root,hpass,Data,Data,,,,,,
1082,Signal_gluinoCS-2600,pass,default,2,SIGNAL,1.0,lumi,.//HSCP_Signal_gluinoCS-2600-SR3.root,hpass,Signal_gluinoCS-2600,HSCP signal,,,lnN,,,1.018
