,process,region,binning,color,process_type,scale,variation,source_filename,source_histname,alias,title,combine_idx,direction,syst_type,shapes,variation_alias,lnN
0,data_obs,fail,default,1,DATA,1.0,nominal,.//HSCP_Data-SR3.root,hfail,Data,Data,,,,,,
229,Signal_gmsbStau-1599,fail,default,2,SIGNAL,1.0,lumi,.//HSCP_Signal_gmsbStau-1599-SR3.root,hfail,Signal_gmsbStau-1599,HSCP signal,,,lnN,,,1.018
230,Signal_gmsbStau-1599,fail,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_gmsbStau-1599-SR3.root,hfail_PUsyst_up,Signal_gmsbStau-1599,HSCP signal,,Up,shapes,1.0,PUsyst,
231,Signal_gmsbStau-1599,fail,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_gmsbStau-1599-SR3.root,hfail_PUsyst_down,Signal_gmsbStau-1599,HSCP signal,,Down,shapes,1.0,PUsyst,
232,Signal_gmsbStau-1599,fail,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_gmsbStau-1599-SR3.root,hfail_Fsyst_up,Signal_gmsbStau-1599,HSCP signal,,Up,shapes,1.0,Fsyst,
233,Signal_gmsbStau-1599,fail,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_gmsbStau-1599-SR3.root,hfail_Fsyst_down,Signal_gmsbStau-1599,HSCP signal,,Down,shapes,1.0,Fsyst,
234,Signal_gmsbStau-1599,fail,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_gmsbStau-1599-SR3.root,hfail_Gsyst_up,Signal_gmsbStau-1599,HSCP signal,,Up,shapes,1.0,Gsyst,
235,Signal_gmsbStau-1599,fail,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_gmsbStau-1599-SR3.root,hfail_Gsyst_down,Signal_gmsbStau-1599,HSCP signal,,Down,shapes,1.0,Gsyst,
236,Signal_gmsbStau-1599,fail,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_gmsbStau-1599-SR3.root,hfail_Triggersyst_up,Signal_gmsbStau-1599,HSCP signal,,Up,shapes,1.0,Triggersyst,
237,Signal_gmsbStau-1599,fail,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_gmsbStau-1599-SR3.root,hfail_Triggersyst_down,Signal_gmsbStau-1599,HSCP signal,,Down,shapes,1.0,Triggersyst,
238,Signal_gmsbStau-1599,fail,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_gmsbStau-1599-SR3.root,hfail_Ptsyst_up,Signal_gmsbStau-1599,HSCP signal,,Up,shapes,1.0,Ptsyst,
