,process,region,binning,color,process_type,scale,variation,source_filename,source_histname,alias,title,combine_idx,direction,syst_type,shapes,variation_alias,lnN
0,data_obs,fail,default,1,DATA,1.0,nominal,.//HSCP_Data-SR3.root,hfail,Data,Data,,,,,,
349,Signal_ppStau-1218,fail,default,2,SIGNAL,1.0,lumi,.//HSCP_Signal_ppStau-1218-SR3.root,hfail,Signal_ppStau-1218,HSCP signal,,,lnN,,,1.018
350,Signal_ppStau-1218,fail,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_ppStau-1218-SR3.root,hfail_PUsyst_up,Signal_ppStau-1218,HSCP signal,,Up,shapes,1.0,PUsyst,
351,Signal_ppStau-1218,fail,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_ppStau-1218-SR3.root,hfail_PUsyst_down,Signal_ppStau-1218,HSCP signal,,Down,shapes,1.0,PUsyst,
352,Signal_ppStau-1218,fail,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_ppStau-1218-SR3.root,hfail_Fsyst_up,Signal_ppStau-1218,HSCP signal,,Up,shapes,1.0,Fsyst,
353,Signal_ppStau-1218,fail,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_ppStau-1218-SR3.root,hfail_Fsyst_down,Signal_ppStau-1218,HSCP signal,,Down,shapes,1.0,Fsyst,
354,Signal_ppStau-1218,fail,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_ppStau-1218-SR3.root,hfail_Gsyst_up,Signal_ppStau-1218,HSCP signal,,Up,shapes,1.0,Gsyst,
355,Signal_ppStau-1218,fail,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_ppStau-1218-SR3.root,hfail_Gsyst_down,Signal_ppStau-1218,HSCP signal,,Down,shapes,1.0,Gsyst,
356,Signal_ppStau-1218,fail,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_ppStau-1218-SR3.root,hfail_Triggersyst_up,Signal_ppStau-1218,HSCP signal,,Up,shapes,1.0,Triggersyst,
357,Signal_ppStau-1218,fail,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_ppStau-1218-SR3.root,hfail_Triggersyst_down,Signal_ppStau-1218,HSCP signal,,Down,shapes,1.0,Triggersyst,
358,Signal_ppStau-1218,fail,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_ppStau-1218-SR3.root,hfail_Ptsyst_up,Signal_ppStau-1218,HSCP signal,,Up,shapes,1.0,Ptsyst,
359,Signal_ppStau-1218,fail,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_ppStau-1218-SR3.root,hfail_Ptsyst_down,Signal_ppStau-1218,HSCP signal,,Down,shapes,1.0,Ptsyst,
360,Signal_ppStau-1218,fail,default,2,SIGNAL,1.0,nominal,.//HSCP_Signal_ppStau-1218-SR3.root,hfail,Signal_ppStau-1218,HSCP signal,,,,,,
925,data_obs,pass,default,1,DATA,1.0,nominal,.//HSCP_Data-SR3.root,hpass,Data,Data,,,,,,
1274,Signal_ppStau-1218,pass,default,2,SIGNAL,1.0,lumi,.//HSCP_Signal_ppStau-1218-SR3.root,hpass,Signal_ppStau-1218,HSCP signal,,,lnN,,,1.018
1275,Signal_ppStau-1218,pass,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_ppStau-1218-SR3.root,hpass_PUsyst_up,Signal_ppStau-1218,HSCP signal,,Up,shapes,1.0,PUsyst,
1276,Signal_ppStau-1218,pass,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_ppStau-1218-SR3.root,hpass_PUsyst_down,Signal_ppStau-1218,HSCP signal,,Down,shapes,1.0,PUsyst,
1277,Signal_ppStau-1218,pass,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_ppStau-1218-SR3.root,hpass_Fsyst_up,Signal_ppStau-1218,HSCP signal,,Up,shapes,1.0,Fsyst,
1278,Signal_ppStau-1218,pass,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_ppStau-1218-SR3.root,hpass_Fsyst_down,Signal_ppStau-1218,HSCP signal,,Down,shapes,1.0,Fsyst,
1279,Signal_ppStau-1218,pass,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_ppStau-1218-SR3.root,hpass_Gsyst_up,Signal_ppStau-1218,HSCP signal,,Up,shapes,1.0,Gsyst,
1280,Signal_ppStau-1218,pass,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_ppStau-1218-SR3.root,hpass_Gsyst_down,Signal_ppStau-1218,HSCP signal,,Down,shapes,1.0,Gsyst,
1281,Signal_ppStau-1218,pass,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_ppStau-1218-SR3.root,hpass_Triggersyst_up,Signal_ppStau-1218,HSCP signal,,Up,shapes,1.0,Triggersyst,
1282,Signal_ppStau-1218,pass,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_ppStau-1218-SR3.root,hpass_Triggersyst_down,Signal_ppStau-1218,HSCP signal,,Down,shapes,1.0,Triggersyst,
1283,Signal_ppStau-1218,pass,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_ppStau-1218-SR3.root,hpass_Ptsyst_up,Signal_ppStau-1218,HSCP signal,,Up,shapes,1.0,Ptsyst,
1284,Signal_ppStau-1218,pass,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_ppStau-1218-SR3.root,hpass_Ptsyst_down,Signal_ppStau-1218,HSCP signal,,Down,shapes,1.0,Ptsyst,
1285,Signal_ppStau-1218,pass,default,2,SIGNAL,1.0,nominal,.//HSCP_Signal_ppStau-1218-SR3.root,hpass,Signal_ppStau-1218,HSCP signal,,,,,,
