,process,region,binning,color,process_type,scale,variation,source_filename,source_histname,alias,title,combine_idx,direction,syst_type,shapes,variation_alias,lnN
0,data_obs,fail,default,1,DATA,1.0,nominal,.//HSCP_Data-SR3.root,hfail,Data,Data,,,,,,
553,Signal_stop-2600,fail,default,2,SIGNAL,1.0,lumi,.//HSCP_Signal_stop-2600-SR3.root,hfail,Signal_stop-2600,HSCP signal,,,lnN,,,1.018
554,Signal_stop-2600,fail,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_stop-2600-SR3.root,hfail_PUsyst_up,Signal_stop-2600,HSCP signal,,Up,shapes,1.0,PUsyst,
555,Signal_stop-2600,fail,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_stop-2600-SR3.root,hfail_PUsyst_down,Signal_stop-2600,HSCP signal,,Down,shapes,1.0,PUsyst,
556,Signal_stop-2600,fail,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_stop-2600-SR3.root,hfail_Fsyst_up,Signal_stop-2600,HSCP signal,,Up,shapes,1.0,Fsyst,
557,Signal_stop-2600,fail,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_stop-2600-SR3.root,hfail_Fsyst_down,Signal_stop-2600,HSCP signal,,Down,shapes,1.0,Fsyst,
558,Signal_stop-2600,fail,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_stop-2600-SR3.root,hfail_Gsyst_up,Signal_stop-2600,HSCP signal,,Up,shapes,1.0,Gsyst,
559,Signal_stop-2600,fail,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_stop-2600-SR3.root,hfail_Gsyst_down,Signal_stop-2600,HSCP signal,,Down,shapes,1.0,Gsyst,
560,Signal_stop-2600,fail,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_stop-2600-SR3.root,hfail_Triggersyst_up,Signal_stop-2600,HSCP signal,,Up,shapes,1.0,Triggersyst,
561,Signal_stop-2600,fail,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_stop-2600-SR3.root,hfail_Triggersyst_down,Signal_stop-2600,HSCP signal,,Down,shapes,1.0,Triggersyst,
562,Signal_stop-2600,fail,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_stop-2600-SR3.root,hfail_Ptsyst_up,Signal_stop-2600,HSCP signal,,Up,shapes,1.0,Ptsyst,
563,Signal_stop-2600,fail,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_stop-2600-SR3.root,hfail_Ptsyst_down,Signal_stop-2600,HSCP signal,,Down,shapes,1.0,Ptsyst,
564,Signal_stop-2600,fail,default,2,SIGNAL,1.0,nominal,.//HSCP_Signal_stop-2600-SR3.root,hfail,Signal_stop-2600,HSCP signal,,,,,,
925,data_obs,pass,default,1,DATA,1.0,nominal,.//HSCP_Data-SR3.root,hpass,Data,Data,,,,,,
1478,Signal_stop-2600,pass,default,2,SIGNAL,1.0,lumi,.//HSCP_Signal_stop-2600-SR3.root,hpass,Signal_stop-2600,HSCP signal,,,lnN,,,1.018
1479,Signal_stop-2600,pass,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_stop-2600-SR3.root,hpass_PUsyst_up,Signal_stop-2600,HSCP signal,,Up,shapes,1.0,PUsyst,
1480,Signal_stop-2600,pass,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_stop-2600-SR3.root,hpass_PUsyst_down,Signal_stop-2600,HSCP signal,,Down,shapes,1.0,PUsyst,
1481,Signal_stop-2600,pass,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_stop-2600-SR3.root,hpass_Fsyst_up,Signal_stop-2600,HSCP signal,,Up,shapes,1.0,Fsyst,
1482,Signal_stop-2600,pass,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_stop-2600-SR3.root,hpass_Fsyst_down,Signal_stop-2600,HSCP signal,,Down,shapes,1.0,Fsyst,
1483,Signal_stop-2600,pass,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_stop-2600-SR3.root,hpass_Gsyst_up,Signal_stop-2600,HSCP signal,,Up,shapes,1.0,Gsyst,
1484,Signal_stop-2600,pass,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_stop-2600-SR3.root,hpass_Gsyst_down,Signal_stop-2600,HSCP signal,,Down,shapes,1.0,Gsyst,
1485,Signal_stop-2600,pass,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_stop-2600-SR3.root,hpass_Triggersyst_up,Signal_stop-2600,HSCP signal,,Up,shapes,1.0,Triggersyst,
1486,Signal_stop-2600,pass,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_stop-2600-SR3.root,hpass_Triggersyst_down,Signal_stop-2600,HSCP signal,,Down,shapes,1.0,Triggersyst,
1487,Signal_stop-2600,pass,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_stop-2600-SR3.root,hpass_Ptsyst_up,Signal_stop-2600,HSCP signal,,Up,shapes,1.0,Ptsyst,
1488,Signal_stop-2600,pass,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_stop-2600-SR3.root,hpass_Ptsyst_down,Signal_stop-2600,HSCP signal,,Down,shapes,1.0,Ptsyst,
1489,Signal_stop-2600,pass,default,2,SIGNAL,1.0,nominal,.//HSCP_Signal_stop-2600-SR3.root,hpass,Signal_stop-2600,HSCP signal,,,,,,
