,process,region,binning,color,process_type,scale,variation,source_filename,source_histname,alias,title,combine_idx,direction,syst_type,shapes,variation_alias,lnN
0,data_obs,fail,default,1,DATA,1.0,nominal,.//HSCP_Data-SR3.root,hfail,Data,Data,,,,,,
589,Signal_stopCS-1000,fail,default,2,SIGNAL,1.0,lumi,.//HSCP_Signal_stopCS-1000-SR3.root,hfail,Signal_stopCS-1000,HSCP signal,,,lnN,,,1.018
590,Signal_stopCS-1000,fail,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_stopCS-1000-SR3.root,hfail_PUsyst_up,Signal_stopCS-1000,HSCP signal,,Up,shapes,1.0,PUsyst,
591,Signal_stopCS-1000,fail,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_stopCS-1000-SR3.root,hfail_PUsyst_down,Signal_stopCS-1000,HSCP signal,,Down,shapes,1.0,PUsyst,
592,Signal_stopCS-1000,fail,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_stopCS-1000-SR3.root,hfail_Fsyst_up,Signal_stopCS-1000,HSCP signal,,Up,shapes,1.0,Fsyst,
593,Signal_stopCS-1000,fail,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_stopCS-1000-SR3.root,hfail_Fsyst_down,Signal_stopCS-1000,HSCP signal,,Down,shapes,1.0,Fsyst,
594,Signal_stopCS-1000,fail,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_stopCS-1000-SR3.root,hfail_Gsyst_up,Signal_stopCS-1000,HSCP signal,,Up,shapes,1.0,Gsyst,
595,Signal_stopCS-1000,fail,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_stopCS-1000-SR3.root,hfail_Gsyst_down,Signal_stopCS-1000,HSCP signal,,Down,shapes,1.0,Gsyst,
596,Signal_stopCS-1000,fail,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_stopCS-1000-SR3.root,hfail_Triggersyst_up,Signal_stopCS-1000,HSCP signal,,Up,shapes,1.0,Triggersyst,
597,Signal_stopCS-1000,fail,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_stopCS-1000-SR3.root,hfail_Triggersyst_down,Signal_stopCS-1000,HSCP signal,,Down,shapes,1.0,Triggersyst,
