,process,region,binning,color,process_type,scale,variation,source_filename,source_histname,alias,title,combine_idx,direction,syst_type,shapes,variation_alias,lnN
0,data_obs,fail,default,1,DATA,1.0,nominal,.//HSCP_Data-SR3.root,hfail,Data,Data,,,,,,
853,Signal_tauPrime2e-1800,fail,default,2,SIGNAL,1.0,lumi,.//HSCP_Signal_tauPrime2e-1800-SR3.root,hfail,Signal_tauPrime2e-1800,HSCP signal,,,lnN,,,1.018
854,Signal_tauPrime2e-1800,fail,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_tauPrime2e-1800-SR3.root,hfail_PUsyst_up,Signal_tauPrime2e-1800,HSCP signal,,Up,shapes,1.0,PUsyst,
855,Signal_tauPrime2e-1800,fail,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_tauPrime2e-1800-SR3.root,hfail_PUsyst_down,Signal_tauPrime2e-1800,HSCP signal,,Down,shapes,1.0,PUsyst,
856,Signal_tauPrime2e-1800,fail,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_tauPrime2e-1800-SR3.root,hfail_Fsyst_up,Signal_tauPrime2e-1800,HSCP signal,,Up,shapes,1.0,Fsyst,
857,Signal_tauPrime2e-1800,fail,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_tauPrime2e-1800-SR3.root,hfail_Fsyst_down,Signal_tauPrime2e-1800,HSCP signal,,Down,shapes,1.0,Fsyst,
858,Signal_tauPrime2e-1800,fail,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_tauPrime2e-1800-SR3.root,hfail_Gsyst_up,Signal_tauPrime2e-1800,HSCP signal,,Up,shapes,1.0,Gsyst,
859,Signal_tauPrime2e-1800,fail,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_tauPrime2e-1800-SR3.root,hfail_Gsyst_down,Signal_tauPrime2e-1800,HSCP signal,,Down,shapes,1.0,Gsyst,
860,Signal_tauPrime2e-1800,fail,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_tauPrime2e-1800-SR3.root,hfail_Triggersyst_up,Signal_tauPrime2e-1800,HSCP signal,,Up,shapes,1.0,Triggersyst,
861,Signal_tauPrime2e-1800,fail,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_tauPrime2e-1800-SR3.root,hfail_Triggersyst_down,Signal_tauPrime2e-1800,HSCP signal,,Down,shapes,1.0,Triggersyst,
862,Signal_tauPrime2e-1800,fail,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_tauPrime2e-1800-SR3.root,hfail_Ptsyst_up,Signal_tauPrime2e-1800,HSCP signal,,Up,shapes,1.0,Ptsyst,
863,Signal_tauPrime2e-1800,fail,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_tauPrime2e-1800-SR3.root,hfail_Ptsyst_down,Signal_tauPrime2e-1800,HSCP signal,,Down,shapes,1.0,Ptsyst,
864,Signal_tauPrime2e-1800,fail,default,2,SIGNAL,1.0,nominal,.//HSCP_Signal_tauPrime2e-1800-SR3.root,hfail,Signal_tauPrime2e-1800,HSCP signal,,,,,,
925,data_obs,pass,default,1,DATA,1.0,nominal,.//HSCP_Data-SR3.root,hpass,Data,Data,,,,,,
1778,Signal_tauPrime2e-1800,pass,default,2,SIGNAL,1.0,lumi,.//HSCP_Signal_tauPrime2e-1800-SR3.root,hpass,Signal_tauPrime2e-1800,HSCP signal,,,lnN,,,1.018
1779,Signal_tauPrime2e-1800,pass,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_tauPrime2e-1800-SR3.root,hpass_PUsyst_up,Signal_tauPrime2e-1800,HSCP signal,,Up,shapes,1.0,PUsyst,
1780,Signal_tauPrime2e-1800,pass,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_tauPrime2e-1800-SR3.root,hpass_PUsyst_down,Signal_tauPrime2e-1800,HSCP signal,,Down,shapes,1.0,PUsyst,
1781,Signal_tauPrime2e-1800,pass,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_tauPrime2e-1800-SR3.root,hpass_Fsyst_up,Signal_tauPrime2e-1800,HSCP signal,,Up,shapes,1.0,Fsyst,
1782,Signal_tauPrime2e-1800,pass,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_tauPrime2e-1800-SR3.root,hpass_Fsyst_down,Signal_tauPrime2e-1800,HSCP signal,,Down,shapes,1.0,Fsyst,
1783,Signal_tauPrime2e-1800,pass,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_tauPrime2e-1800-SR3.root,hpass_Gsyst_up,Signal_tauPrime2e-1800,HSCP signal,,Up,shapes,1.0,Gsyst,
1784,Signal_tauPrime2e-1800,pass,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_tauPrime2e-1800-SR3.root,hpass_Gsyst_down,Signal_tauPrime2e-1800,HSCP signal,,Down,shapes,1.0,Gsyst,
1785,Signal_tauPrime2e-1800,pass,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_tauPrime2e-1800-SR3.root,hpass_Triggersyst_up,Signal_tauPrime2e-1800,HSCP signal,,Up,shapes,1.0,Triggersyst,
1786,Signal_tauPrime2e-1800,pass,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_tauPrime2e-1800-SR3.root,hpass_Triggersyst_down,Signal_tauPrime2e-1800,HSCP signal,,Down,shapes,1.0,Triggersyst,
1787,Signal_tauPrime2e-1800,pass,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_tauPrime2e-1800-SR3.root,hpass_Ptsyst_up,Signal_tauPrime2e-1800,HSCP signal,,Up,shapes,1.0,Ptsyst,
1788,Signal_tauPrime2e-1800,pass,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_tauPrime2e-1800-SR3.root,hpass_Ptsyst_down,Signal_tauPrime2e-1800,HSCP signal,,Down,shapes,1.0,Ptsyst,
