,process,region,binning,color,process_type,scale,variation,source_filename,source_histname,alias,title,combine_idx,direction,syst_type,shapes,variation_alias,lnN
0,data_obs,fail,default,1,DATA,1.0,nominal,.//HSCP_Data-SR1.root,hfail,Data,Data,,,,,,
85,HSCP_gluino-2400,fail,default,2,SIGNAL,1.0,lumi,.//HSCP_Signal_gluino-2400-SR1.root,hfail,Signal_gluino-2400,HSCP gluino 2400 GeV,,,lnN,,,1.018
86,HSCP_gluino-2400,fail,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_gluino-2400-SR1.root,hfail_PUsyst_up,Signal_gluino-2400,HSCP gluino 2400 GeV,,Up,shapes,1.0,PUsyst,
87,HSCP_gluino-2400,fail,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_gluino-2400-SR1.root,hfail_PUsyst_down,Signal_gluino-2400,HSCP gluino 2400 GeV,,Down,shapes,1.0,PUsyst,
88,HSCP_gluino-2400,fail,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_gluino-2400-SR1.root,hfail_Fsyst_up,Signal_gluino-2400,HSCP gluino 2400 GeV,,Up,shapes,1.0,Fsyst,
89,HSCP_gluino-2400,fail,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_gluino-2400-SR1.root,hfail_Fsyst_down,Signal_gluino-2400,HSCP gluino 2400 GeV,,Down,shapes,1.0,Fsyst,
90,HSCP_gluino-2400,fail,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_gluino-2400-SR1.root,hfail_Gsyst_up,Signal_gluino-2400,HSCP gluino 2400 GeV,,Up,shapes,1.0,Gsyst,
91,HSCP_gluino-2400,fail,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_gluino-2400-SR1.root,hfail_Gsyst_down,Signal_gluino-2400,HSCP gluino 2400 GeV,,Down,shapes,1.0,Gsyst,
92,HSCP_gluino-2400,fail,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_gluino-2400-SR1.root,hfail_Triggersyst_up,Signal_gluino-2400,HSCP gluino 2400 GeV,,Up,shapes,1.0,Triggersyst,
93,HSCP_gluino-2400,fail,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_gluino-2400-SR1.root,hfail_Triggersyst_down,Signal_gluino-2400,HSCP gluino 2400 GeV,,Down,shapes,1.0,Triggersyst,
94,HSCP_gluino-2400,fail,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_gluino-2400-SR1.root,hfail_Ptsyst_up,Signal_gluino-2400,HSCP gluino 2400 GeV,,Up,shapes,1.0,Ptsyst,
95,HSCP_gluino-2400,fail,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_gluino-2400-SR1.root,hfail_Ptsyst_down,Signal_gluino-2400,HSCP gluino 2400 GeV,,Down,shapes,1.0,Ptsyst,
96,HSCP_gluino-2400,fail,default,2,SIGNAL,1.0,nominal,.//HSCP_Signal_gluino-2400-SR1.root,hfail,Signal_gluino-2400,HSCP gluino 2400 GeV,,,,,,
109,data_obs,pass,default,1,DATA,1.0,nominal,.//HSCP_Data-SR1.root,hpass,Data,Data,,,,,,
194,HSCP_gluino-2400,pass,default,2,SIGNAL,1.0,lumi,.//HSCP_Signal_gluino-2400-SR1.root,hpass,Signal_gluino-2400,HSCP gluino 2400 GeV,,,lnN,,,1.018
195,HSCP_gluino-2400,pass,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_gluino-2400-SR1.root,hpass_PUsyst_up,Signal_gluino-2400,HSCP gluino 2400 GeV,,Up,shapes,1.0,PUsyst,
196,HSCP_gluino-2400,pass,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_gluino-2400-SR1.root,hpass_PUsyst_down,Signal_gluino-2400,HSCP gluino 2400 GeV,,Down,shapes,1.0,PUsyst,
197,HSCP_gluino-2400,pass,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_gluino-2400-SR1.root,hpass_Fsyst_up,Signal_gluino-2400,HSCP gluino 2400 GeV,,Up,shapes,1.0,Fsyst,
198,HSCP_gluino-2400,pass,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_gluino-2400-SR1.root,hpass_Fsyst_down,Signal_gluino-2400,HSCP gluino 2400 GeV,,Down,shapes,1.0,Fsyst,
199,HSCP_gluino-2400,pass,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_gluino-2400-SR1.root,hpass_Gsyst_up,Signal_gluino-2400,HSCP gluino 2400 GeV,,Up,shapes,1.0,Gsyst,
200,HSCP_gluino-2400,pass,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_gluino-2400-SR1.root,hpass_Gsyst_down,Signal_gluino-2400,HSCP gluino 2400 GeV,,Down,shapes,1.0,Gsyst,
201,HSCP_gluino-2400,pass,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_gluino-2400-SR1.root,hpass_Triggersyst_up,Signal_gluino-2400,HSCP gluino 2400 GeV,,Up,shapes,1.0,Triggersyst,
202,HSCP_gluino-2400,pass,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_gluino-2400-SR1.root,hpass_Triggersyst_down,Signal_gluino-2400,HSCP gluino 2400 GeV,,Down,shapes,1.0,Triggersyst,
203,HSCP_gluino-2400,pass,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_gluino-2400-SR1.root,hpass_Ptsyst_up,Signal_gluino-2400,HSCP gluino 2400 GeV,,Up,shapes,1.0,Ptsyst,
204,HSCP_gluino-2400,pass,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_gluino-2400-SR1.root,hpass_Ptsyst_down,Signal_gluino-2400,HSCP gluino 2400 GeV,,Down,shapes,1.0,Ptsyst,
205,HSCP_gluino-2400,pass,default,2,SIGNAL,1.0,nominal,.//HSCP_Signal_gluino-2400-SR1.root,hpass,Signal_gluino-2400,HSCP gluino 2400 GeV,,,,,,
