,process,region,binning,color,process_type,scale,variation,source_filename,source_histname,alias,title,combine_idx,direction,syst_type,shapes,variation_alias,lnN
0,data_obs,fail,default,1,DATA,1.0,nominal,.//HSCP_Data-SR3.root,hfail,Data,Data,,,,,,
25,HSCP_gluino-1400,fail,default,2,SIGNAL,1.0,lumi,.//HSCP_Signal_gluino-1400-SR3.root,hfail,Signal_gluino-1400,HSCP gluino 1400 GeV,,,lnN,,,1.018
26,HSCP_gluino-1400,fail,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_gluino-1400-SR3.root,hfail_PUsyst_up,Signal_gluino-1400,HSCP gluino 1400 GeV,,Up,shapes,1.0,PUsyst,
27,HSCP_gluino-1400,fail,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_gluino-1400-SR3.root,hfail_PUsyst_down,Signal_gluino-1400,HSCP gluino 1400 GeV,,Down,shapes,1.0,PUsyst,
28,HSCP_gluino-1400,fail,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_gluino-1400-SR3.root,hfail_Fsyst_up,Signal_gluino-1400,HSCP gluino 1400 GeV,,Up,shapes,1.0,Fsyst,
29,HSCP_gluino-1400,fail,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_gluino-1400-SR3.root,hfail_Fsyst_down,Signal_gluino-1400,HSCP gluino 1400 GeV,,Down,shapes,1.0,Fsyst,
30,HSCP_gluino-1400,fail,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_gluino-1400-SR3.root,hfail_Gsyst_up,Signal_gluino-1400,HSCP gluino 1400 GeV,,Up,shapes,1.0,Gsyst,
31,HSCP_gluino-1400,fail,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_gluino-1400-SR3.root,hfail_Gsyst_down,Signal_gluino-1400,HSCP gluino 1400 GeV,,Down,shapes,1.0,Gsyst,
32,HSCP_gluino-1400,fail,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_gluino-1400-SR3.root,hfail_Triggersyst_up,Signal_gluino-1400,HSCP gluino 1400 GeV,,Up,shapes,1.0,Triggersyst,
33,HSCP_gluino-1400,fail,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_gluino-1400-SR3.root,hfail_Triggersyst_down,Signal_gluino-1400,HSCP gluino 1400 GeV,,Down,shapes,1.0,Triggersyst,
34,HSCP_gluino-1400,fail,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_gluino-1400-SR3.root,hfail_Ptsyst_up,Signal_gluino-1400,HSCP gluino 1400 GeV,,Up,shapes,1.0,Ptsyst,
35,HSCP_gluino-1400,fail,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_gluino-1400-SR3.root,hfail_Ptsyst_down,Signal_gluino-1400,HSCP gluino 1400 GeV,,Down,shapes,1.0,Ptsyst,
36,HSCP_gluino-1400,fail,default,2,SIGNAL,1.0,nominal,.//HSCP_Signal_gluino-1400-SR3.root,hfail,Signal_gluino-1400,HSCP gluino 1400 GeV,,,,,,
109,data_obs,pass,default,1,DATA,1.0,nominal,.//HSCP_Data-SR3.root,hpass,Data,Data,,,,,,
134,HSCP_gluino-1400,pass,default,2,SIGNAL,1.0,lumi,.//HSCP_Signal_gluino-1400-SR3.root,hpass,Signal_gluino-1400,HSCP gluino 1400 GeV,,,lnN,,,1.018
